Date,6/21/2018,,,,,,,,,,,,,,,,,,,,,,,,
Time,9:03:35,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
PlateType,384PP_DMSO2,,,,,,,,,,,,,,,,,,,,,,,,
Barcode,AA00009981,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
WellName,WellRow,WellColumn,GeoX,GeoY,TransducerZ,Wall ToF (us), Wall Vpp,EW BB ToF (us), EW BB Vpp,EW TB ToF (us), EW TB Vpp,FW BB ToF (us), FW BB Vpp,FW TB1 ToF (us), FW TB1 Vpp,FW TB2 ToF (us), FW TB2 Vpp,SR ToF (us), SR Vpp,SR2 ToF (us), SR2 Vpp,Well Round Trip ToF (us), Well Round Trip Vpp,Bottom Thickness (us), BottomEchoAmpRatio
H1,7,0,55442.29338,40345.4124,17184.826,,,32.054881,2.53125,,,,,32.668881,1.875,,,36.256881,3.984375,,,,,0.614,0.740741
H2,7,1,59933.14038,40345.4124,17184.826,,,32.032881,2.59375,,,,,32.652881,1.890625,,,36.194881,3.984375,,,,,0.62,0.728916
H3,7,2,64423.98738,40345.4124,17184.826,,,32.004881,2.46875,32.624881,3.984375,,,,,,,,,,,,,0.62,
H4,7,3,68914.83438,40345.4124,17184.826,,,31.986881,2.796875,32.602881,3.984375,,,,,,,,,,,,,0.616,
H5,7,4,73405.68138,40345.4124,17184.826,,,31.968881,2.765625,32.582881,3.984375,,,,,,,,,,,,,0.614,
H6,7,5,77896.52838,40345.4124,17184.826,,,31.950881,2.75,32.568881,3.984375,,,,,,,,,,,,,0.618,
H7,7,6,82387.37538,40345.4124,17184.826,,,31.942881,2.546875,32.558881,3.984375,,,,,,,,,,,,,0.616,
H8,7,7,86878.22238,40345.4124,17184.826,,,31.934881,2.75,32.554881,3.984375,,,,,,,,,,,,,0.62,
H9,7,8,91369.06938,40345.4124,17184.826,,,31.934881,2.703125,32.552881,3.984375,,,,,,,,,,,,,0.618,
H10,7,9,95859.91638,40345.4124,17184.826,,,31.936881,2.625,32.556881,3.984375,,,,,,,,,,,,,0.62,
H11,7,10,100350.7634,40345.4124,17184.826,,,31.932881,2.6875,32.552881,3.984375,,,,,,,,,,,,,0.62,
H12,7,11,104841.6104,40345.4124,17184.826,,,31.926881,2.734375,32.546881,3.984375,,,,,,,,,,,,,0.62,
I1,8,0,55448.48463,35854.4124,17184.826,,,32.066881,2.625,,,,,32.678881,1.859375,,,36.168881,3.984375,,,,,0.612,0.708333
I2,8,1,59939.33163,35854.4124,17184.826,,,32.044881,2.5625,,,,,32.660881,1.859375,,,36.098881,3.984375,,,,,0.616,0.72561
I3,8,2,64430.17863,35854.4124,17184.826,,,32.014881,2.546875,32.630881,3.984375,,,,,,,,,,,,,0.616,
I4,8,3,68921.02563,35854.4124,17184.826,,,31.988881,2.453125,32.608881,3.984375,,,,,,,,,,,,,0.62,
I5,8,4,73411.87263,35854.4124,17184.826,,,31.972881,2.6875,32.590881,3.984375,,,,,,,,,,,,,0.618,
I6,8,5,77902.71963,35854.4124,17184.826,,,31.956881,2.765625,32.576881,3.984375,,,,,,,,,,,,,0.62,
I7,8,6,82393.56663,35854.4124,17184.826,,,31.946881,2.609375,32.566881,3.984375,,,,,,,,,,,,,0.62,
I8,8,7,86884.41363,35854.4124,17184.826,,,31.942881,2.671875,32.560881,3.984375,,,,,,,,,,,,,0.618,
I9,8,8,91375.26063,35854.4124,17184.826,,,31.938881,2.765625,32.558881,3.984375,,,,,,,,,,,,,0.62,
I10,8,9,95866.10763,35854.4124,17184.826,,,31.938881,2.46875,32.558881,3.984375,,,,,,,,,,,,,0.62,
I11,8,10,100356.9546,35854.4124,17184.826,,,31.938881,2.515625,32.556881,3.984375,,,,,,,,,,,,,0.618,
I12,8,11,104847.8016,35854.4124,17184.826,,,31.932881,2.59375,32.550881,3.984375,,,,,,,,,,,,,0.618,
 Kernel data :: Row : 0,,,,,,,,,,,,,,,,,,,,,,,,,
 Col, BB-Val, BB-Mask, BotThickVal, BotThickMask ,,,,,,,,,,,,,,,,,,,,,
0,2.51819,1,0.614,1,,,,,,,,,,,,,,,,,,,,,
1,2.59178,1,0.62,1,,,,,,,,,,,,,,,,,,,,,
2,2.48035,1,0.62,0,,,,,,,,,,,,,,,,,,,,,
3,2.82029,1,0.616,0,,,,,,,,,,,,,,,,,,,,,
4,2.79771,1,0.614,0,,,,,,,,,,,,,,,,,,,,,
5,2.79053,1,0.618,0,,,,,,,,,,,,,,,,,,,,,
6,2.58816,1,0.616,0,,,,,,,,,,,,,,,,,,,,,
7,2.79869,1,0.62,0,,,,,,,,,,,,,,,,,,,,,
8,2.75098,1,0.618,0,,,,,,,,,,,,,,,,,,,,,
9,2.67049,1,0.62,0,,,,,,,,,,,,,,,,,,,,,
10,2.73609,1,0.62,0,,,,,,,,,,,,,,,,,,,,,
11,2.78688,1,0.62,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
 Kernel data :: Row : 1,,,,,,,,,,,,,,,,,,,,,,,,,
 Col, BB-Val, BB-Mask, BotThickVal, BotThickMask ,,,,,,,,,,,,,,,,,,,,,
0,2.6042,1,0.612,1,,,,,,,,,,,,,,,,,,,,,
1,2.55474,1,0.616,1,,,,,,,,,,,,,,,,,,,,,
2,2.55367,1,0.616,0,,,,,,,,,,,,,,,,,,,,,
3,2.47265,1,0.62,0,,,,,,,,,,,,,,,,,,,,,
4,2.71682,1,0.618,0,,,,,,,,,,,,,,,,,,,,,
5,2.80349,1,0.62,0,,,,,,,,,,,,,,,,,,,,,
6,2.64973,1,0.62,0,,,,,,,,,,,,,,,,,,,,,
7,2.71519,1,0.618,0,,,,,,,,,,,,,,,,,,,,,
8,2.81252,1,0.62,0,,,,,,,,,,,,,,,,,,,,,
9,2.51061,1,0.62,0,,,,,,,,,,,,,,,,,,,,,
10,2.55828,1,0.618,0,,,,,,,,,,,,,,,,,,,,,
11,2.64064,1,0.618,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
 Kernel data ::  Kernel Observation ,,,,,,,,,,,,,,,,,,,,,,,,,
 Col, BB-Val, BB-Mask, BotThickVal, BotThickMask ,,,,,,,,,,,,,,,,,,,,,
0,2.5612,1,0.613,1,,,,,,,,,,,,,,,,,,,,,
1,2.57326,1,0.618,1,,,,,,,,,,,,,,,,,,,,,
2,2.51701,1,0,0,,,,,,,,,,,,,,,,,,,,,
3,2.64647,1,0,0,,,,,,,,,,,,,,,,,,,,,
4,2.75726,1,0,0,,,,,,,,,,,,,,,,,,,,,
5,2.79701,1,0,0,,,,,,,,,,,,,,,,,,,,,
6,2.61895,1,0,0,,,,,,,,,,,,,,,,,,,,,
7,2.75694,1,0,0,,,,,,,,,,,,,,,,,,,,,
8,2.78175,1,0,0,,,,,,,,,,,,,,,,,,,,,
9,2.59055,1,0,0,,,,,,,,,,,,,,,,,,,,,
10,2.64718,1,0,0,,,,,,,,,,,,,,,,,,,,,
11,2.71376,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
CLAS:: 384PPG :: Total score for Kernel based Classification -0.715412 ( bb vpp : -0.715412, tb-bb tof : 0 ),,,,,,,,,,,,,,,,,,,,,,,,
SCORE 384PPG::,,,,,,,,,,,,,,,,,,,,,,,,,
TOT:,-0.715412,BBVPP,-0.715412,(n=12),BOTTHICK:,0,(n=2),,,,,,,,,,,,,,,,,,
 Kernel data :: Row : 0,,,,,,,,,,,,,,,,,,,,,,,,,
 Col, BB-Val, BB-Mask, BotThickVal, BotThickMask ,,,,,,,,,,,,,,,,,,,,,
0,2.53125,1,0.614,1,,,,,,,,,,,,,,,,,,,,,
1,2.59375,1,0.62,1,,,,,,,,,,,,,,,,,,,,,
2,2.46875,1,0.62,0,,,,,,,,,,,,,,,,,,,,,
3,2.79688,1,0.616,0,,,,,,,,,,,,,,,,,,,,,
4,2.76563,1,0.614,0,,,,,,,,,,,,,,,,,,,,,
5,2.75,1,0.618,0,,,,,,,,,,,,,,,,,,,,,
6,2.54688,1,0.616,0,,,,,,,,,,,,,,,,,,,,,
7,2.75,1,0.62,0,,,,,,,,,,,,,,,,,,,,,
8,2.70313,1,0.618,0,,,,,,,,,,,,,,,,,,,,,
9,2.625,1,0.62,0,,,,,,,,,,,,,,,,,,,,,
10,2.6875,1,0.62,0,,,,,,,,,,,,,,,,,,,,,
11,2.73438,1,0.62,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
 Kernel data :: Row : 1,,,,,,,,,,,,,,,,,,,,,,,,,
 Col, BB-Val, BB-Mask, BotThickVal, BotThickMask ,,,,,,,,,,,,,,,,,,,,,
0,2.625,1,0.612,1,,,,,,,,,,,,,,,,,,,,,
1,2.5625,1,0.616,1,,,,,,,,,,,,,,,,,,,,,
2,2.54688,1,0.616,0,,,,,,,,,,,,,,,,,,,,,
3,2.45313,1,0.62,0,,,,,,,,,,,,,,,,,,,,,
4,2.6875,1,0.618,0,,,,,,,,,,,,,,,,,,,,,
5,2.76563,1,0.62,0,,,,,,,,,,,,,,,,,,,,,
6,2.60938,1,0.62,0,,,,,,,,,,,,,,,,,,,,,
7,2.67188,1,0.618,0,,,,,,,,,,,,,,,,,,,,,
8,2.76563,1,0.62,0,,,,,,,,,,,,,,,,,,,,,
9,2.46875,1,0.62,0,,,,,,,,,,,,,,,,,,,,,
10,2.51563,1,0.618,0,,,,,,,,,,,,,,,,,,,,,
11,2.59375,1,0.618,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
 Kernel data ::  Kernel Observation ,,,,,,,,,,,,,,,,,,,,,,,,,
 Col, BB-Val, BB-Mask, BotThickVal, BotThickMask ,,,,,,,,,,,,,,,,,,,,,
0,2.57813,1,0.613,1,,,,,,,,,,,,,,,,,,,,,
