Date,2018-07-19,
Time,10:31:01,

PlateType,384PP_DMSO2,
Barcode,AA00011888,

WellName,WellRow,WellColumn,GeoX,GeoY,TransducerZ,Wall ToF (us), Wall Vpp,EW BB ToF (us), EW BB Vpp,EW TB ToF (us), EW TB Vpp,FW BB ToF (us), FW BB Vpp,FW TB1 ToF (us), FW TB1 Vpp,FW TB2 ToF (us), FW TB2 Vpp,SR ToF (us), SR Vpp,SR2 ToF (us), SR2 Vpp,Well Round Trip ToF (us), Well Round Trip Vpp,Bottom Thickness (us), BottomEchoAmpRatio,
H1,7,0,55442.293375,40345.412400,17111.899297,,,,,,,32.096881,2.875000,32.706881,1.921875,,,36.468881,3.984375,,,,,0.610000,0.668478,
H2,7,1,59933.140375,40345.412400,17111.899297,,,,,,,32.060881,2.859375,32.676881,1.937500,,,36.380881,3.984375,,,,,0.616000,0.677596,
H3,7,2,64423.987375,40345.412400,17111.899297,,,,,,,32.020881,2.812500,32.638881,1.937500,,,36.356881,3.984375,,,,,0.618000,0.688889,
H4,7,3,68914.834375,40345.412400,17111.899297,,,,,,,31.990881,2.796875,32.608881,1.937500,,,36.280881,3.984375,,,,,0.618000,0.692737,
H5,7,4,73405.681375,40345.412400,17111.899297,,,,,,,31.960881,2.781250,32.582881,1.937500,,,36.300881,3.984375,,,,,0.622000,0.696629,
H6,7,5,77896.528375,40345.412400,17111.899297,,,,,,,31.942881,2.765625,32.564881,1.921875,,,36.266881,3.984375,,,,,0.622000,0.694915,
H7,7,6,82387.375375,40345.412400,17111.899297,,,,,,,31.926881,2.734375,32.548881,1.906250,,,36.250881,3.984375,,,,,0.622000,0.697143,
H8,7,7,86878.222375,40345.412400,17111.899297,,,,,,,31.914881,2.734375,32.538881,1.906250,,,36.238881,3.984375,,,,,0.624000,0.697143,
H9,7,8,91369.069375,40345.412400,17111.899297,,,,,,,31.912881,2.703125,32.536881,1.890625,,,36.256881,3.984375,,,,,0.624000,0.699422,
H10,7,9,95859.916375,40345.412400,17111.899297,,,,,,,31.912881,2.734375,32.536881,1.859375,,,36.234881,3.984375,,,,,0.624000,0.680000,
H11,7,10,100350.763375,40345.412400,17111.899297,,,,,,,31.910881,2.718750,32.534881,1.781250,,,36.264881,3.984375,,,,,0.624000,0.655172,
H12,7,11,104841.610375,40345.412400,17111.899297,,,,,,,31.900881,2.781250,32.522881,1.687500,,,36.252881,3.984375,,,,,0.622000,0.606742,
I1,8,0,55448.484625,35854.412400,17111.899297,,,,,,,32.102881,2.859375,32.716881,1.859375,,,36.140881,3.984375,,,,,0.614000,0.650273,
I2,8,1,59939.331625,35854.412400,17111.899297,,,,,,,32.066881,2.828125,32.684881,1.906250,,,36.084881,3.984375,,,,,0.618000,0.674033,
I3,8,2,64430.178625,35854.412400,17111.899297,,,,,,,32.030881,2.828125,32.648881,1.921875,,,36.124881,3.984375,,,,,0.618000,0.679558,
I4,8,3,68921.025625,35854.412400,17111.899297,,,,,,,31.994881,2.796875,32.614881,1.921875,,,36.134881,3.984375,,,,,0.620000,0.687151,
I5,8,4,73411.872625,35854.412400,17111.899297,,,,,,,31.968881,2.765625,32.590881,1.906250,,,36.150881,3.984375,,,,,0.622000,0.689266,
I6,8,5,77902.719625,35854.412400,17111.899297,,,,,,,31.944881,2.765625,32.568881,1.906250,,,36.152881,3.984375,,,,,0.624000,0.689266,
I7,8,6,82393.566625,35854.412400,17111.899297,,,,,,,31.930881,2.734375,32.554881,1.906250,,,36.160881,3.984375,,,,,0.624000,0.697143,
I8,8,7,86884.413625,35854.412400,17111.899297,,,,,,,31.918881,2.734375,32.542881,1.906250,,,36.170881,3.984375,,,,,0.624000,0.697143,
I9,8,8,91375.260625,35854.412400,17111.899297,,,,,,,31.916881,2.718750,32.540881,1.906250,,,36.164881,3.984375,,,,,0.624000,0.701149,
I10,8,9,95866.107625,35854.412400,17111.899297,,,,,,,31.918881,2.703125,32.540881,1.875000,,,36.202881,3.984375,,,,,0.622000,0.693642,
I11,8,10,100356.954625,35854.412400,17111.899297,,,,,,,31.912881,2.703125,32.536881,1.812500,,,36.204881,3.984375,,,,,0.624000,0.670520,
I12,8,11,104847.801625,35854.412400,17111.899297,,,,,,,31.908881,2.781250,32.532881,1.734375,,,36.224881,3.937500,,,,,0.624000,0.623596,
 Kernel data :: Row : 0
 Col, BB-Val, BB-Mask, BotThickVal, BotThickMask 
0,2.83832,1,0.61,1
1,2.84066,1,0.616,1
2,2.81678,1,0.618,1
3,2.818,1,0.618,1
4,2.81739,1,0.622,1
5,2.81046,1,0.622,1
6,2.78688,1,0.622,1
7,2.79304,1,0.624,1
8,2.76213,1,0.624,1
9,2.79406,1,0.624,1
10,2.77912,1,0.624,1
11,2.84823,1,0.622,1

 Kernel data :: Row : 1
 Col, BB-Val, BB-Mask, BotThickVal, BotThickMask 
0,2.82116,1,0.614,1
1,2.80572,1,0.618,1
2,2.82705,1,0.618,1
3,2.81571,1,0.62,1
4,2.79771,1,0.622,1
5,2.80943,1,0.624,1
6,2.78483,1,0.624,1
7,2.79099,1,0.624,1
8,2.77606,1,0.624,1
9,2.75909,1,0.622,1
10,2.76213,1,0.624,1
11,2.84405,1,0.624,1

 Kernel data ::  Kernel Observation 
 Col, BB-Val, BB-Mask, BotThickVal, BotThickMask 
0,2.82974,1,0.612,1
1,2.82319,1,0.617,1
2,2.82191,1,0.618,1
3,2.81685,1,0.619,1
4,2.80755,1,0.622,1
5,2.80994,1,0.623,1
6,2.78586,1,0.623,1
7,2.79201,1,0.624,1
8,2.7691,1,0.624,1
9,2.77658,1,0.623,1
10,2.77062,1,0.624,1
11,2.84614,1,0.623,1

CLAS:: 384PPG :: Total score for Kernel based Classification 0.109582 ( bb vpp : 0.370013, tb-bb tof : -0.150849 )
SCORE 384PPG::
TOT:,0.109582,BBVPP,0.370013,(n=12),BOTTHICK:,-0.150849,(n=12)
 Kernel data :: Row : 0
 Col, BB-Val, BB-Mask, BotThickVal, BotThickMask 
0,2.875,1,0.61,1
1,2.85938,1,0.616,1
2,2.8125,1,0.618,1
3,2.79688,1,0.618,1
4,2.78125,1,0.622,1
5,2.76563,1,0.622,1
6,2.73438,1,0.622,1
7,2.73438,1,0.624,1
8,2.70313,1,0.624,1
9,2.73438,1,0.624,1
10,2.71875,1,0.624,1
11,2.78125,1,0.622,1

 Kernel data :: Row : 1
 Col, BB-Val, BB-Mask, BotThickVal, BotThickMask 
0,2.85938,1,0.614,1
1,2.82813,1,0.618,1
2,2.82813,1,0.618,1
3,2.79688,1,0.62,1
4,2.76563,1,0.622,1
5,2.76563,1,0.624,1
6,2.73438,1,0.624,1
7,2.73438,1,0.624,1
8,2.71875,1,0.624,1
9,2.70313,1,0.622,1
10,2.70313,1,0.624,1
11,2.78125,1,0.624,1

 Kernel data ::  Kernel Observation 
 Col, BB-Val, BB-Mask, BotThickVal, BotThickMask 
0,2.86719,1,0.612,1
1,2.84375,1,0.617,1
2,2.82031,1,0.618,1
3,2.79688,1,0.619,1
4,2.77344,1,0.622,1
5,2.76563,1,0.623,1
6,2.73438,1,0.623,1
7,2.73438,1,0.624,1
8,2.71094,1,0.624,1
9,2.71875,1,0.623,1
10,2.71094,1,0.624,1
11,2.78125,1,0.623,1

CLAS:: 384PPL :: Total score for Kernel based Classification 0.897471 ( bb vpp : 0.830844, tb-bb tof : 0.964097 )
SCORE 384PPL::
TOT:,0.897471,BBVPP,0.830844,(n=12),BOTTHICK:,0.964097,(n=12)

Classification results summary:
Classified plate name,Tol. tier,score,threshold
384PPG_DMSO2,TIGHT,0.109582,0.6
384PPL_DMSO2,TIGHT,0.897471,0.6, <----- This was the plate-model chosen as the classified plate ****************************************
384PPG_DMSO2,LOOSE,0.109582,0
384PPL_DMSO2,LOOSE,0.897471,0
