Source,Destination,Volume,ArbOutAdjDbv,EjectOffUm,RepRateOvrHz
A1,A1,100,-0.44,0,0
A1,B1,100,-0.44,0,0
B1,C1,100,-0.44,0,0
B1,D1,100,-0.44,0,0
C1,E1,100,-0.44,0,0
C1,F1,100,-0.44,0,0
D1,G1,100,-0.44,0,0
D1,H1,100,-0.44,0,0
E1,I1,100,-0.44,0,0
E1,J1,100,-0.44,0,0
F1,K1,100,-0.44,0,0
F1,L1,100,-0.44,0,0
G1,M1,100,-0.44,0,0
G1,N1,100,-0.44,0,0
H1,O1,100,-0.44,0,0
H1,P1,100,-0.44,0,0
H1,P2,100,-0.4,0,0
H1,O2,100,-0.4,0,0
G1,N2,100,-0.4,0,0
G1,M2,100,-0.4,0,0
F1,L2,100,-0.4,0,0
F1,K2,100,-0.4,0,0
E1,J2,100,-0.4,0,0
E1,I2,100,-0.4,0,0
D1,H2,100,-0.4,0,0
D1,G2,100,-0.4,0,0
C1,F2,100,-0.4,0,0
C1,E2,100,-0.4,0,0
B1,D2,100,-0.4,0,0
B1,C2,100,-0.4,0,0
A1,B2,100,-0.4,0,0
A1,A2,100,-0.4,0,0
A2,A3,100,-0.36,0,0
A2,B3,100,-0.36,0,0
B2,C3,100,-0.36,0,0
B2,D3,100,-0.36,0,0
C2,E3,100,-0.36,0,0
C2,F3,100,-0.36,0,0
D2,G3,100,-0.36,0,0
D2,H3,100,-0.36,0,0
E2,I3,100,-0.36,0,0
E2,J3,100,-0.36,0,0
F2,K3,100,-0.36,0,0
F2,L3,100,-0.36,0,0
G2,M3,100,-0.36,0,0
G2,N3,100,-0.36,0,0
H2,O3,100,-0.36,0,0
H2,P3,100,-0.36,0,0
H2,P4,100,-0.32,0,0
H2,O4,100,-0.32,0,0
G2,N4,100,-0.32,0,0
G2,M4,100,-0.32,0,0
F2,L4,100,-0.32,0,0
F2,K4,100,-0.32,0,0
E2,J4,100,-0.32,0,0
E2,I4,100,-0.32,0,0
D2,H4,100,-0.32,0,0
D2,G4,100,-0.32,0,0
C2,F4,100,-0.32,0,0
C2,E4,100,-0.32,0,0
B2,D4,100,-0.32,0,0
B2,C4,100,-0.32,0,0
A2,B4,100,-0.32,0,0
A2,A4,100,-0.32,0,0
A3,A5,100,-0.28,0,0
A3,B5,100,-0.28,0,0
B3,C5,100,-0.28,0,0
B3,D5,100,-0.28,0,0
