Source,Destination,Volume,ArbOutAdjDbv,EjectOffUm,RepRateOvrHz
A1,A1,5000,0,0,0
B1,C1,5000,0,0,0
C1,E1,5000,0,0,0
D1,G1,5000,0,0,0
E1,I1,5000,0,0,0
F1,K1,5000,0,0,0
G1,M1,5000,0,0,0
H1,O1,5000,0,0,0
H1,P2,5000,0,0,0
G1,N2,5000,0,0,0
F1,L2,5000,0,0,0
E1,J2,5000,0,0,0
D1,H2,5000,0,0,0
C1,F2,5000,0,0,0
B1,D2,5000,0,0,0
A1,B2,5000,0,0,0
A2,A3,5000,0,0,0
B2,C3,5000,0,0,0
C2,E3,5000,0,0,0
D2,G3,5000,0,0,0
E2,I3,5000,0,0,0
F2,K3,5000,0,0,0
G2,M3,5000,0,0,0
H2,O3,5000,0,0,0
H2,P4,5000,0,0,0
G2,N4,5000,0,0,0
F2,L4,5000,0,0,0
E2,J4,5000,0,0,0
D2,H4,5000,0,0,0
C2,F4,5000,0,0,0
B2,D4,5000,0,0,0
A2,B4,5000,0,0,0
A3,A5,5000,0,0,0
B3,C5,5000,0,0,0
C3,E5,5000,0,0,0
D3,G5,5000,0,0,0
E3,I5,5000,0,0,0
F3,K5,5000,0,0,0
G3,M5,5000,0,0,0
H3,O5,5000,0,0,0
H3,P6,5000,0,0,0
G3,N6,5000,0,0,0
F3,L6,5000,0,0,0
E3,J6,5000,0,0,0
D3,H6,5000,0,0,0
C3,F6,5000,0,0,0
B3,D6,5000,0,0,0
A3,B6,5000,0,0,0
A4,A7,5000,0,0,0
B4,C7,5000,0,0,0
C4,E7,5000,0,0,0
D4,G7,5000,0,0,0
E4,I7,5000,0,0,0
F4,K7,5000,0,0,0
G4,M7,5000,0,0,0
H4,O7,5000,0,0,0
H4,P8,5000,0,0,0
G4,N8,5000,0,0,0
F4,L8,5000,0,0,0
E4,J8,5000,0,0,0
D4,H8,5000,0,0,0
C4,F8,5000,0,0,0
B4,D8,5000,0,0,0
A4,B8,5000,0,0,0
A5,A9,5000,0,0,0
B5,C9,5000,0,0,0
C5,E9,5000,0,0,0
D5,G9,5000,0,0,0
E5,I9,5000,0,0,0
F5,K9,5000,0,0,0
G5,M9,5000,0,0,0
H5,O9,5000,0,0,0
H5,P10,5000,0,0,0
G5,N10,5000,0,0,0
F5,L10,5000,0,0,0
E5,J10,5000,0,0,0
D5,H10,5000,0,0,0
C5,F10,5000,0,0,0
B5,D10,5000,0,0,0
A5,B10,5000,0,0,0
A6,A11,5000,0,0,0
B6,C11,5000,0,0,0
C6,E11,5000,0,0,0
D6,G11,5000,0,0,0
E6,I11,5000,0,0,0
F6,K11,5000,0,0,0
G6,M11,5000,0,0,0
H6,O11,5000,0,0,0
H6,P12,5000,0,0,0
G6,N12,5000,0,0,0
F6,L12,5000,0,0,0
E6,J12,5000,0,0,0
D6,H12,5000,0,0,0
C6,F12,5000,0,0,0
B6,D12,5000,0,0,0
A6,B12,5000,0,0,0
A7,A13,5000,0,0,0
B7,C13,5000,0,0,0
C7,E13,5000,0,0,0
D7,G13,5000,0,0,0
E7,I13,5000,0,0,0
F7,K13,5000,0,0,0
G7,M13,5000,0,0,0
H7,O13,5000,0,0,0
H7,P14,5000,0,0,0
G7,N14,5000,0,0,0
F7,L14,5000,0,0,0
E7,J14,5000,0,0,0
D7,H14,5000,0,0,0
C7,F14,5000,0,0,0
B7,D14,5000,0,0,0
A7,B14,5000,0,0,0
A8,A15,5000,0,0,0
B8,C15,5000,0,0,0
C8,E15,5000,0,0,0
D8,G15,5000,0,0,0
E8,I15,5000,0,0,0
F8,K15,5000,0,0,0
G8,M15,5000,0,0,0
H8,O15,5000,0,0,0
H8,P16,5000,0,0,0
G8,N16,5000,0,0,0
F8,L16,5000,0,0,0
E8,J16,5000,0,0,0
D8,H16,5000,0,0,0
C8,F16,5000,0,0,0
B8,D16,5000,0,0,0
A8,B16,5000,0,0,0
A9,A17,5000,0,0,0
B9,C17,5000,0,0,0
C9,E17,5000,0,0,0
D9,G17,5000,0,0,0
E9,I17,5000,0,0,0
F9,K17,5000,0,0,0
G9,M17,5000,0,0,0
H9,O17,5000,0,0,0
H9,P18,5000,0,0,0
G9,N18,5000,0,0,0
F9,L18,5000,0,0,0
E9,J18,5000,0,0,0
D9,H18,5000,0,0,0
C9,F18,5000,0,0,0
B9,D18,5000,0,0,0
A9,B18,5000,0,0,0
A10,A19,5000,0,0,0
B10,C19,5000,0,0,0
C10,E19,5000,0,0,0
D10,G19,5000,0,0,0
E10,I19,5000,0,0,0
F10,K19,5000,0,0,0
G10,M19,5000,0,0,0
H10,O19,5000,0,0,0
H10,P20,5000,0,0,0
G10,N20,5000,0,0,0
F10,L20,5000,0,0,0
E10,J20,5000,0,0,0
D10,H20,5000,0,0,0
