Source,Destination,Volume,ArbOutAdjDbv,EjectOffUm,RepRateOvrHz
A1,A1,5000,0,0,218
B1,C1,5000,0,0,218
C1,E1,5000,0,0,218
D1,G1,5000,0,0,218
E1,I1,5000,0,0,218
F1,K1,5000,0,0,218
G1,M1,5000,0,0,218
H1,O1,5000,0,0,218
H1,P2,5000,0,0,220
G1,N2,5000,0,0,220
F1,L2,5000,0,0,220
E1,J2,5000,0,0,220
D1,H2,5000,0,0,220
C1,F2,5000,0,0,220
B1,D2,5000,0,0,220
A1,B2,5000,0,0,220
A2,A3,5000,0,0,222
B2,C3,5000,0,0,222
C2,E3,5000,0,0,222
D2,G3,5000,0,0,222
E2,I3,5000,0,0,222
F2,K3,5000,0,0,222
G2,M3,5000,0,0,222
H2,O3,5000,0,0,222
H2,P4,5000,0,0,224
G2,N4,5000,0,0,224
F2,L4,5000,0,0,224
E2,J4,5000,0,0,224
D2,H4,5000,0,0,224
C2,F4,5000,0,0,224
B2,D4,5000,0,0,224
A2,B4,5000,0,0,224
A3,A5,5000,0,0,226
B3,C5,5000,0,0,226
C3,E5,5000,0,0,226
D3,G5,5000,0,0,226
E3,I5,5000,0,0,226
F3,K5,5000,0,0,226
G3,M5,5000,0,0,226
H3,O5,5000,0,0,226
H3,P6,5000,0,0,228
G3,N6,5000,0,0,228
F3,L6,5000,0,0,228
E3,J6,5000,0,0,228
D3,H6,5000,0,0,228
C3,F6,5000,0,0,228
B3,D6,5000,0,0,228
A3,B6,5000,0,0,228
A4,A7,5000,0,0,230
B4,C7,5000,0,0,230
C4,E7,5000,0,0,230
D4,G7,5000,0,0,230
E4,I7,5000,0,0,230
F4,K7,5000,0,0,230
G4,M7,5000,0,0,230
H4,O7,5000,0,0,230
H4,P8,5000,0,0,232
G4,N8,5000,0,0,232
F4,L8,5000,0,0,232
E4,J8,5000,0,0,232
D4,H8,5000,0,0,232
C4,F8,5000,0,0,232
B4,D8,5000,0,0,232
A4,B8,5000,0,0,232
A5,A9,5000,0,0,234
B5,C9,5000,0,0,234
C5,E9,5000,0,0,234
D5,G9,5000,0,0,234
E5,I9,5000,0,0,234
F5,K9,5000,0,0,234
G5,M9,5000,0,0,234
H5,O9,5000,0,0,234
H5,P10,5000,0,0,236
G5,N10,5000,0,0,236
F5,L10,5000,0,0,236
E5,J10,5000,0,0,236
D5,H10,5000,0,0,236
C5,F10,5000,0,0,236
B5,D10,5000,0,0,236
A5,B10,5000,0,0,236
A6,A11,5000,0,0,238
B6,C11,5000,0,0,238
C6,E11,5000,0,0,238
D6,G11,5000,0,0,238
E6,I11,5000,0,0,238
F6,K11,5000,0,0,238
G6,M11,5000,0,0,238
H6,O11,5000,0,0,238
H6,P12,5000,0,0,240
G6,N12,5000,0,0,240
F6,L12,5000,0,0,240
E6,J12,5000,0,0,240
D6,H12,5000,0,0,240
C6,F12,5000,0,0,240
B6,D12,5000,0,0,240
A6,B12,5000,0,0,240
A7,A13,5000,0,0,242
B7,C13,5000,0,0,242
C7,E13,5000,0,0,242
D7,G13,5000,0,0,242
E7,I13,5000,0,0,242
F7,K13,5000,0,0,242
G7,M13,5000,0,0,242
H7,O13,5000,0,0,242
H7,P14,5000,0,0,244
G7,N14,5000,0,0,244
F7,L14,5000,0,0,244
E7,J14,5000,0,0,244
D7,H14,5000,0,0,244
C7,F14,5000,0,0,244
B7,D14,5000,0,0,244
A7,B14,5000,0,0,244
