Source,Destination,Volume,ArbOutAdjDbv,EjectOffUm,RepRateOvrHz
A1,A1,100,-0.44,0,0
B1,C1,100,-0.44,0,0
C1,E1,100,-0.44,0,0
D1,G1,100,-0.44,0,0
E1,I1,100,-0.44,0,0
F1,K1,100,-0.44,0,0
G1,M1,100,-0.44,0,0
H1,O1,100,-0.44,0,0
H1,P2,100,-0.4,0,0
G1,N2,100,-0.4,0,0
F1,L2,100,-0.4,0,0
E1,J2,100,-0.4,0,0
D1,H2,100,-0.4,0,0
C1,F2,100,-0.4,0,0
B1,D2,100,-0.4,0,0
A1,B2,100,-0.4,0,0
A2,A3,100,-0.36,0,0
B2,C3,100,-0.36,0,0
C2,E3,100,-0.36,0,0
D2,G3,100,-0.36,0,0
E2,I3,100,-0.36,0,0
F2,K3,100,-0.36,0,0
G2,M3,100,-0.36,0,0
H2,O3,100,-0.36,0,0
H2,P4,100,-0.32,0,0
G2,N4,100,-0.32,0,0
F2,L4,100,-0.32,0,0
E2,J4,100,-0.32,0,0
D2,H4,100,-0.32,0,0
C2,F4,100,-0.32,0,0
B2,D4,100,-0.32,0,0
A2,B4,100,-0.32,0,0
A3,A5,100,-0.28,0,0
B3,C5,100,-0.28,0,0
C3,E5,100,-0.28,0,0
D3,G5,100,-0.28,0,0
E3,I5,100,-0.28,0,0
F3,K5,100,-0.28,0,0
G3,M5,100,-0.28,0,0
H3,O5,100,-0.28,0,0
H3,P6,100,-0.24,0,0
G3,N6,100,-0.24,0,0
F3,L6,100,-0.24,0,0
E3,J6,100,-0.24,0,0
D3,H6,100,-0.24,0,0
C3,F6,100,-0.24,0,0
B3,D6,100,-0.24,0,0
A3,B6,100,-0.24,0,0
A4,A7,100,-0.2,0,0
B4,C7,100,-0.2,0,0
C4,E7,100,-0.2,0,0
D4,G7,100,-0.2,0,0
E4,I7,100,-0.2,0,0
F4,K7,100,-0.2,0,0
G4,M7,100,-0.2,0,0
H4,O7,100,-0.2,0,0
H4,P8,100,-0.16,0,0
G4,N8,100,-0.16,0,0
F4,L8,100,-0.16,0,0
E4,J8,100,-0.16,0,0
D4,H8,100,-0.16,0,0
C4,F8,100,-0.16,0,0
B4,D8,100,-0.16,0,0
A4,B8,100,-0.16,0,0
A5,A9,100,-0.12,0,0
B5,C9,100,-0.12,0,0
C5,E9,100,-0.12,0,0
D5,G9,100,-0.12,0,0
E5,I9,100,-0.12,0,0
F5,K9,100,-0.12,0,0
G5,M9,100,-0.12,0,0
H5,O9,100,-0.12,0,0
H5,P10,100,-0.08,0,0
G5,N10,100,-0.08,0,0
F5,L10,100,-0.08,0,0
E5,J10,100,-0.08,0,0
D5,H10,100,-0.08,0,0
C5,F10,100,-0.08,0,0
B5,D10,100,-0.08,0,0
A5,B10,100,-0.08,0,0
A6,A11,100,-0.04,0,0
B6,C11,100,-0.04,0,0
C6,E11,100,-0.04,0,0
D6,G11,100,-0.04,0,0
E6,I11,100,-0.04,0,0
F6,K11,100,-0.04,0,0
G6,M11,100,-0.04,0,0
H6,O11,100,-0.04,0,0
H6,P12,100,0,0,0
G6,N12,100,0,0,0
F6,L12,100,0,0,0
E6,J12,100,0,0,0
D6,H12,100,0,0,0
C6,F12,100,0,0,0
B6,D12,100,0,0,0
A6,B12,100,0,0,0
A7,A13,100,0.04,0,0
B7,C13,100,0.04,0,0
C7,E13,100,0.04,0,0
D7,G13,100,0.04,0,0
E7,I13,100,0.04,0,0
F7,K13,100,0.04,0,0
G7,M13,100,0.04,0,0
H7,O13,100,0.04,0,0
H7,P14,100,0.08,0,0
G7,N14,100,0.08,0,0
F7,L14,100,0.08,0,0
E7,J14,100,0.08,0,0
D7,H14,100,0.08,0,0
C7,F14,100,0.08,0,0
B7,D14,100,0.08,0,0
A7,B14,100,0.08,0,0
A8,A15,100,0.12,0,0
B8,C15,100,0.12,0,0
C8,E15,100,0.12,0,0
D8,G15,100,0.12,0,0
E8,I15,100,0.12,0,0
F8,K15,100,0.12,0,0
G8,M15,100,0.12,0,0
H8,O15,100,0.12,0,0
H8,P16,100,0.16,0,0
G8,N16,100,0.16,0,0
F8,L16,100,0.16,0,0
E8,J16,100,0.16,0,0
D8,H16,100,0.16,0,0
C8,F16,100,0.16,0,0
B8,D16,100,0.16,0,0
A8,B16,100,0.16,0,0
A9,A17,100,0.2,0,0
B9,C17,100,0.2,0,0
C9,E17,100,0.2,0,0
D9,G17,100,0.2,0,0
E9,I17,100,0.2,0,0
F9,K17,100,0.2,0,0
G9,M17,100,0.2,0,0
H9,O17,100,0.2,0,0
H9,P18,100,0.24,0,0
G9,N18,100,0.24,0,0
F9,L18,100,0.24,0,0
E9,J18,100,0.24,0,0
D9,H18,100,0.24,0,0
C9,F18,100,0.24,0,0
B9,D18,100,0.24,0,0
A9,B18,100,0.24,0,0
A10,A19,100,0.28,0,0
B10,C19,100,0.28,0,0
C10,E19,100,0.28,0,0
D10,G19,100,0.28,0,0
E10,I19,100,0.28,0,0
F10,K19,100,0.28,0,0
G10,M19,100,0.28,0,0
H10,O19,100,0.28,0,0
H10,P20,100,0.32,0,0
G10,N20,100,0.32,0,0
F10,L20,100,0.32,0,0
E10,J20,100,0.32,0,0
D10,H20,100,0.32,0,0
C10,F20,100,0.32,0,0
B10,D20,100,0.32,0,0
A10,B20,100,0.32,0,0
A11,A21,100,0.36,0,0
B11,C21,100,0.36,0,0
C11,E21,100,0.36,0,0
D11,G21,100,0.36,0,0
E11,I21,100,0.36,0,0
F11,K21,100,0.36,0,0
G11,M21,100,0.36,0,0
H11,O21,100,0.36,0,0
H11,P22,100,0.4,0,0
G11,N22,100,0.4,0,0
F11,L22,100,0.4,0,0
E11,J22,100,0.4,0,0
D11,H22,100,0.4,0,0
C11,F22,100,0.4,0,0
B11,D22,100,0.4,0,0
A11,B22,100,0.4,0,0
A12,A23,100,0.44,0,0
B12,C23,100,0.44,0,0
C12,E23,100,0.44,0,0
D12,G23,100,0.44,0,0
E12,I23,100,0.44,0,0
F12,K23,100,0.44,0,0
G12,M23,100,0.44,0,0
H12,O23,100,0.44,0,0
H12,P24,100,0.48,0,0
G12,N24,100,0.48,0,0
F12,L24,100,0.48,0,0
E12,J24,100,0.48,0,0
D12,H24,100,0.48,0,0
C12,F24,100,0.48,0,0
B12,D24,100,0.48,0,0
A12,B24,100,0.48,0,0
