Source,Destination,Volume,ArbOutAdjDbv,EjectOffUm,RepRateOvrHz
A1,A2,100,0,0,0
B1,D2,100,0,0,0
C1,G2,100,0,0,0
D1,J2,100,0,0,0
E1,M2,100,0,0,0
F1,P2,100,0,0,0
F2,P5,100,0,0,0
E2,M5,100,0,0,0
D2,J5,100,0,0,0
C2,G5,100,0,0,0
B2,D5,100,0,0,0
A2,A5,100,0,0,0
A3,A8,100,0,0,0
B3,D8,100,0,0,0
C3,G8,100,0,0,0
D3,J8,100,0,0,0
E3,M8,100,0,0,0
F3,P8,100,0,0,0
F4,P11,100,0,0,0
E4,M11,100,0,0,0
D4,J11,100,0,0,0
C4,G11,100,0,0,0
B4,D11,100,0,0,0
A4,A11,100,0,0,0
C5,A14,100,0,0,0
D5,D14,100,0,0,0
E5,G14,100,0,0,0
F5,J14,100,0,0,0
G5,M14,100,0,0,0
H5,P14,100,0,0,0
H6,P17,100,0,0,0
G6,M17,100,0,0,0
F6,J17,100,0,0,0
E6,G17,100,0,0,0
D6,D17,100,0,0,0
C6,A17,100,0,0,0
C7,A20,100,0,0,0
D7,D20,100,0,0,0
E7,G20,100,0,0,0
F7,J20,100,0,0,0
G7,M20,100,0,0,0
H7,P20,100,0,0,0
H8,P23,100,0,0,0
G8,M23,100,0,0,0
F8,J23,100,0,0,0
E8,G23,100,0,0,0
D8,D23,100,0,0,0
C8,A23,100,0,0,0
