Reader,LUTDate,IntStd,CalDate,A,B,C,PMTCorr,Category,Mode
Neo,062018,FALSE,20180706,0,676.72,94.843,22496,MFG,Fluor
BioTek1,062018,FALSE,20180629,0,735.15,90.137,42303.06,MFG,Fluor
BioTek1,022018,FALSE,20180222,0,733.71,105.37,42040.4,MFG,Fluor
BioTek1,022018uL,FALSE,20180307, 4.8511441889E-06,2.1961376492E-02,4.8510309547E+02,42331.60,RD,Fluor
BioTek1,022018uL_DMSO,FALSE,20180327,4.00470993038797E-06,0.0556540055851678,242.197654024221,42234.04688,RD,Fluor
BioTek1,022018uL_GP,FALSE,20180327,4.57494165802878E-06,0.0415393070100474,305.863470836927,41910.46875,RD,Fluor
BioTek1,022018ext,FALSE,20180418,0,246.0452,1226.8284,43173.66667,RD,Fluor
BioTek1,052017,FALSE,NA,0,694.84,104.25,41679,RD,Fluor
BioTek1,082017,FALSE,NA,0,694.15,123.65,42372,RD,Fluor
BioTek1,042016,FALSE,NA,0,719.35,104.59,58342,RD,Fluor
BioTek1,0112016,FALSE,NA,0,703.09,98.278,57612.5,RD,Fluor
BioTek1,092016,FALSE,NA,0,715.97,17.34,58814,RD,Fluor
BioTek1,032017,FALSE,20170316,0,688.13,41.875,57076,RD,Fluor
BioTek1,032017,FALSE,20170516,0,694.84,104.25,41679,RD,Fluor
BioTek2,062018,FALSE,20180628,0,02356,0.0477,NULL,MFG,Abs
BioTek2,042018,FALSE,20180404,0,0.2269,0.0461,NULL,MFG,Abs
BioTek2,062018,FALSE,20180629,0,704.08,49.078,65881.03,MFG,Fluor
BioTek2,022018,FALSE,20180222,0,743.06,90.611,68039,MFG,Fluor
BioTek2,022018uL,FALSE,20180307,4.4026814334E-06,1.2376857573E-02,5.2284228946E+02,67805.58,RD,Fluor
BioTek2,022018uL_DMSO,FALSE,20180327,3.84468785853059E-06,0.0391702304657747,301.972874837244,67310.93229,RD,Fluor
BioTek2,022018uL_GP,FALSE,20180327,4.07252955261672E-06,0.0309380770821583,340.573408709215,67325.57813,RD,Fluor
BioTek2,022018ext,FALSE,20180418,0,260.4153,1568.4248,68823.45313,RD,Fluor
BioTek2,082017,FALSE,20170817,0,571.27,99.631,56521,RD,Fluor
BioTek2,082017,FALSE,20170919,0,709.52,106,69486,RD,Fluor
BioTek2,062016UKOmics,FALSE,NA,0,568.84,62,60886,RD,Fluor
BioTek2,032017,FALSE,20170316,0,597.28,38.348,57330.5,RD,Fluor
BioTek2,032017,FALSE,20170516,0,585.85,112.07,57096.5,RD,Fluor
BioTek2,032017,FALSE,20170929,0,709.91,121.81,68452,RD,Fluor
BioTek2,112016,FALSE,NA,0,610.19,46.793,57009,RD,Fluor
