Col,Row,Well,mConc,mFillHeight,mFluid,mImpedance,mVolume
0,0,A1,50,0,GLY,2.02,68
1,0,A2,50,0,GLY,2.02,40
2,0,A3,50,0,GLY,2.02,55
3,0,A4,50,0,GLY,2.02,13
4,0,A5,50,0,GLY,2.02,25
5,0,A6,50,0,GLY,2.02,15
6,0,A7,50,0,GLY,2.02,50
7,0,A8,50,0,GLY,2.02,65
8,0,A9,50,0,GLY,2.02,45
9,0,A10,50,0,GLY,2.02,60
10,0,A11,50,0,GLY,2.02,20
11,0,A12,50,0,GLY,2.02,30
12,0,A13,50,0,GLY,2.02,68
13,0,A14,50,0,GLY,2.02,40
14,0,A15,50,0,GLY,2.02,55
15,0,A16,50,0,GLY,2.02,13
16,0,A17,50,0,GLY,2.02,25
17,0,A18,50,0,GLY,2.02,15
18,0,A19,50,0,GLY,2.02,50
19,0,A20,50,0,GLY,2.02,65
20,0,A21,50,0,GLY,2.02,45
21,0,A22,50,0,GLY,2.02,60
22,0,A23,50,0,GLY,2.02,20
23,0,A24,50,0,GLY,2.02,30
0,1,B1,50,0,GLY,2.02,68
1,1,B2,50,0,GLY,2.02,40
2,1,B3,50,0,GLY,2.02,55
3,1,B4,50,0,GLY,2.02,13
4,1,B5,50,0,GLY,2.02,25
5,1,B6,50,0,GLY,2.02,15
6,1,B7,50,0,GLY,2.02,50
7,1,B8,50,0,GLY,2.02,65
8,1,B9,50,0,GLY,2.02,45
9,1,B10,50,0,GLY,2.02,60
10,1,B11,50,0,GLY,2.02,20
11,1,B12,50,0,GLY,2.02,30
12,1,B13,50,0,GLY,2.02,68
13,1,B14,50,0,GLY,2.02,40
14,1,B15,50,0,GLY,2.02,55
15,1,B16,50,0,GLY,2.02,13
16,1,B17,50,0,GLY,2.02,25
17,1,B18,50,0,GLY,2.02,15
18,1,B19,50,0,GLY,2.02,50
19,1,B20,50,0,GLY,2.02,65
20,1,B21,50,0,GLY,2.02,45
21,1,B22,50,0,GLY,2.02,60
22,1,B23,50,0,GLY,2.02,20
23,1,B24,50,0,GLY,2.02,30
0,2,C1,50,0,GLY,2.02,68
1,2,C2,50,0,GLY,2.02,40
2,2,C3,50,0,GLY,2.02,55
3,2,C4,50,0,GLY,2.02,13
4,2,C5,50,0,GLY,2.02,25
5,2,C6,50,0,GLY,2.02,15
6,2,C7,50,0,GLY,2.02,50
7,2,C8,50,0,GLY,2.02,65
8,2,C9,50,0,GLY,2.02,45
9,2,C10,50,0,GLY,2.02,60
10,2,C11,50,0,GLY,2.02,20
11,2,C12,50,0,GLY,2.02,30
12,2,C13,50,0,GLY,2.02,68
13,2,C14,50,0,GLY,2.02,40
14,2,C15,50,0,GLY,2.02,55
15,2,C16,50,0,GLY,2.02,13
16,2,C17,50,0,GLY,2.02,25
17,2,C18,50,0,GLY,2.02,15
18,2,C19,50,0,GLY,2.02,50
19,2,C20,50,0,GLY,2.02,65
20,2,C21,50,0,GLY,2.02,45
21,2,C22,50,0,GLY,2.02,60
22,2,C23,50,0,GLY,2.02,20
23,2,C24,50,0,GLY,2.02,30
0,3,D1,50,0,GLY,2.02,68
1,3,D2,50,0,GLY,2.02,40
2,3,D3,50,0,GLY,2.02,55
3,3,D4,50,0,GLY,2.02,13
4,3,D5,50,0,GLY,2.02,25
5,3,D6,50,0,GLY,2.02,15
6,3,D7,50,0,GLY,2.02,50
7,3,D8,50,0,GLY,2.02,65
8,3,D9,50,0,GLY,2.02,45
9,3,D10,50,0,GLY,2.02,60
10,3,D11,50,0,GLY,2.02,20
11,3,D12,50,0,GLY,2.02,30
12,3,D13,50,0,GLY,2.02,68
13,3,D14,50,0,GLY,2.02,40
14,3,D15,50,0,GLY,2.02,55
15,3,D16,50,0,GLY,2.02,13
16,3,D17,50,0,GLY,2.02,25
17,3,D18,50,0,GLY,2.02,15
18,3,D19,50,0,GLY,2.02,50
19,3,D20,50,0,GLY,2.02,65
20,3,D21,50,0,GLY,2.02,45
21,3,D22,50,0,GLY,2.02,60
22,3,D23,50,0,GLY,2.02,20
23,3,D24,50,0,GLY,2.02,30
0,4,E1,50,0,GLY,2.02,68
1,4,E2,50,0,GLY,2.02,40
2,4,E3,50,0,GLY,2.02,55
3,4,E4,50,0,GLY,2.02,13
4,4,E5,50,0,GLY,2.02,25
5,4,E6,50,0,GLY,2.02,15
6,4,E7,50,0,GLY,2.02,50
7,4,E8,50,0,GLY,2.02,65
8,4,E9,50,0,GLY,2.02,45
9,4,E10,50,0,GLY,2.02,60
10,4,E11,50,0,GLY,2.02,20
11,4,E12,50,0,GLY,2.02,30
12,4,E13,50,0,GLY,2.02,68
13,4,E14,50,0,GLY,2.02,40
14,4,E15,50,0,GLY,2.02,55
15,4,E16,50,0,GLY,2.02,13
16,4,E17,50,0,GLY,2.02,25
17,4,E18,50,0,GLY,2.02,15
18,4,E19,50,0,GLY,2.02,50
19,4,E20,50,0,GLY,2.02,65
20,4,E21,50,0,GLY,2.02,45
21,4,E22,50,0,GLY,2.02,60
22,4,E23,50,0,GLY,2.02,20
23,4,E24,50,0,GLY,2.02,30
0,5,F1,50,0,GLY,2.02,68
1,5,F2,50,0,GLY,2.02,40
2,5,F3,50,0,GLY,2.02,55
3,5,F4,50,0,GLY,2.02,13
4,5,F5,50,0,GLY,2.02,25
5,5,F6,50,0,GLY,2.02,15
6,5,F7,50,0,GLY,2.02,50
7,5,F8,50,0,GLY,2.02,65
8,5,F9,50,0,GLY,2.02,45
9,5,F10,50,0,GLY,2.02,60
10,5,F11,50,0,GLY,2.02,20
11,5,F12,50,0,GLY,2.02,30
12,5,F13,50,0,GLY,2.02,68
13,5,F14,50,0,GLY,2.02,40
14,5,F15,50,0,GLY,2.02,55
15,5,F16,50,0,GLY,2.02,13
16,5,F17,50,0,GLY,2.02,25
17,5,F18,50,0,GLY,2.02,15
18,5,F19,50,0,GLY,2.02,50
