Col,Row,Well,mConc,mFillHeight,mFluid,mImpedance,mVolume
0,0,A1,14,0,PBS14,1.48,68
1,0,A2,14,0,PBS14,1.48,40
2,0,A3,14,0,PBS14,1.48,55
3,0,A4,14,0,PBS14,1.48,13
4,0,A5,14,0,PBS14,1.48,25
5,0,A6,14,0,PBS14,1.48,15
6,0,A7,14,0,PBS14,1.48,50
7,0,A8,14,0,PBS14,1.48,65
8,0,A9,14,0,PBS14,1.48,45
9,0,A10,14,0,PBS14,1.48,60
10,0,A11,14,0,PBS14,1.48,20
11,0,A12,14,0,PBS14,1.48,30
12,0,A13,14,0,PBS14,1.48,68
13,0,A14,14,0,PBS14,1.48,40
14,0,A15,14,0,PBS14,1.48,55
15,0,A16,14,0,PBS14,1.48,13
16,0,A17,14,0,PBS14,1.48,25
17,0,A18,14,0,PBS14,1.48,15
18,0,A19,14,0,PBS14,1.48,50
19,0,A20,14,0,PBS14,1.48,65
20,0,A21,14,0,PBS14,1.48,45
21,0,A22,14,0,PBS14,1.48,60
22,0,A23,14,0,PBS14,1.48,20
23,0,A24,14,0,PBS14,1.48,30
0,1,B1,14,0,PBS14,1.48,68
1,1,B2,14,0,PBS14,1.48,40
2,1,B3,14,0,PBS14,1.48,55
3,1,B4,14,0,PBS14,1.48,13
4,1,B5,14,0,PBS14,1.48,25
5,1,B6,14,0,PBS14,1.48,15
6,1,B7,14,0,PBS14,1.48,50
7,1,B8,14,0,PBS14,1.48,65
8,1,B9,14,0,PBS14,1.48,45
9,1,B10,14,0,PBS14,1.48,60
10,1,B11,14,0,PBS14,1.48,20
11,1,B12,14,0,PBS14,1.48,30
12,1,B13,14,0,PBS14,1.48,68
13,1,B14,14,0,PBS14,1.48,40
14,1,B15,14,0,PBS14,1.48,55
15,1,B16,14,0,PBS14,1.48,13
16,1,B17,14,0,PBS14,1.48,25
17,1,B18,14,0,PBS14,1.48,15
18,1,B19,14,0,PBS14,1.48,50
19,1,B20,14,0,PBS14,1.48,65
20,1,B21,14,0,PBS14,1.48,45
21,1,B22,14,0,PBS14,1.48,60
22,1,B23,14,0,PBS14,1.48,20
23,1,B24,14,0,PBS14,1.48,30
0,2,C1,14,0,PBS14,1.48,68
1,2,C2,14,0,PBS14,1.48,40
2,2,C3,14,0,PBS14,1.48,55
3,2,C4,14,0,PBS14,1.48,13
4,2,C5,14,0,PBS14,1.48,25
5,2,C6,14,0,PBS14,1.48,15
6,2,C7,14,0,PBS14,1.48,50
7,2,C8,14,0,PBS14,1.48,65
8,2,C9,14,0,PBS14,1.48,45
9,2,C10,14,0,PBS14,1.48,60
10,2,C11,14,0,PBS14,1.48,20
11,2,C12,14,0,PBS14,1.48,30
12,2,C13,14,0,PBS14,1.48,68
13,2,C14,14,0,PBS14,1.48,40
14,2,C15,14,0,PBS14,1.48,55
15,2,C16,14,0,PBS14,1.48,13
16,2,C17,14,0,PBS14,1.48,25
17,2,C18,14,0,PBS14,1.48,15
18,2,C19,14,0,PBS14,1.48,50
19,2,C20,14,0,PBS14,1.48,65
20,2,C21,14,0,PBS14,1.48,45
21,2,C22,14,0,PBS14,1.48,60
22,2,C23,14,0,PBS14,1.48,20
23,2,C24,14,0,PBS14,1.48,30
0,3,D1,14,0,PBS14,1.48,68
1,3,D2,14,0,PBS14,1.48,40
2,3,D3,14,0,PBS14,1.48,55
3,3,D4,14,0,PBS14,1.48,13
4,3,D5,14,0,PBS14,1.48,25
5,3,D6,14,0,PBS14,1.48,15
6,3,D7,14,0,PBS14,1.48,50
7,3,D8,14,0,PBS14,1.48,65
8,3,D9,14,0,PBS14,1.48,45
9,3,D10,14,0,PBS14,1.48,60
10,3,D11,14,0,PBS14,1.48,20
11,3,D12,14,0,PBS14,1.48,30
12,3,D13,14,0,PBS14,1.48,68
13,3,D14,14,0,PBS14,1.48,40
14,3,D15,14,0,PBS14,1.48,55
15,3,D16,14,0,PBS14,1.48,13
16,3,D17,14,0,PBS14,1.48,25
17,3,D18,14,0,PBS14,1.48,15
18,3,D19,14,0,PBS14,1.48,50
19,3,D20,14,0,PBS14,1.48,65
20,3,D21,14,0,PBS14,1.48,45
21,3,D22,14,0,PBS14,1.48,60
22,3,D23,14,0,PBS14,1.48,20
23,3,D24,14,0,PBS14,1.48,30
0,4,E1,14,0,PBS14,1.48,68
1,4,E2,14,0,PBS14,1.48,40
2,4,E3,14,0,PBS14,1.48,55
3,4,E4,14,0,PBS14,1.48,13
4,4,E5,14,0,PBS14,1.48,25
5,4,E6,14,0,PBS14,1.48,15
6,4,E7,14,0,PBS14,1.48,50
7,4,E8,14,0,PBS14,1.48,65
8,4,E9,14,0,PBS14,1.48,45
9,4,E10,14,0,PBS14,1.48,60
10,4,E11,14,0,PBS14,1.48,20
11,4,E12,14,0,PBS14,1.48,30
12,4,E13,14,0,PBS14,1.48,68
13,4,E14,14,0,PBS14,1.48,40
14,4,E15,14,0,PBS14,1.48,55
15,4,E16,14,0,PBS14,1.48,13
16,4,E17,14,0,PBS14,1.48,25
17,4,E18,14,0,PBS14,1.48,15
18,4,E19,14,0,PBS14,1.48,50
19,4,E20,14,0,PBS14,1.48,65
20,4,E21,14,0,PBS14,1.48,45
21,4,E22,14,0,PBS14,1.48,60
22,4,E23,14,0,PBS14,1.48,20
23,4,E24,14,0,PBS14,1.48,30
0,5,F1,14,0,PBS14,1.48,68
1,5,F2,14,0,PBS14,1.48,40
2,5,F3,14,0,PBS14,1.48,55
3,5,F4,14,0,PBS14,1.48,13
4,5,F5,14,0,PBS14,1.48,25
5,5,F6,14,0,PBS14,1.48,15
6,5,F7,14,0,PBS14,1.48,50
7,5,F8,14,0,PBS14,1.48,65
8,5,F9,14,0,PBS14,1.48,45
9,5,F10,14,0,PBS14,1.48,60
10,5,F11,14,0,PBS14,1.48,20
11,5,F12,14,0,PBS14,1.48,30
12,5,F13,14,0,PBS14,1.48,68
13,5,F14,14,0,PBS14,1.48,40
14,5,F15,14,0,PBS14,1.48,55
15,5,F16,14,0,PBS14,1.48,13
16,5,F17,14,0,PBS14,1.48,25
17,5,F18,14,0,PBS14,1.48,15
18,5,F19,14,0,PBS14,1.48,50
19,5,F20,14,0,PBS14,1.48,65
20,5,F21,14,0,PBS14,1.48,45
21,5,F22,14,0,PBS14,1.48,60
22,5,F23,14,0,PBS14,1.48,20
23,5,F24,14,0,PBS14,1.48,30
0,6,G1,14,0,PBS14,1.48,68
1,6,G2,14,0,PBS14,1.48,40
2,6,G3,14,0,PBS14,1.48,55
3,6,G4,14,0,PBS14,1.48,13
4,6,G5,14,0,PBS14,1.48,25
5,6,G6,14,0,PBS14,1.48,15
6,6,G7,14,0,PBS14,1.48,50
7,6,G8,14,0,PBS14,1.48,65
8,6,G9,14,0,PBS14,1.48,45
9,6,G10,14,0,PBS14,1.48,60
10,6,G11,14,0,PBS14,1.48,20
11,6,G12,14,0,PBS14,1.48,30
12,6,G13,14,0,PBS14,1.48,68
13,6,G14,14,0,PBS14,1.48,40
14,6,G15,14,0,PBS14,1.48,55
15,6,G16,14,0,PBS14,1.48,13
16,6,G17,14,0,PBS14,1.48,25
17,6,G18,14,0,PBS14,1.48,15
18,6,G19,14,0,PBS14,1.48,50
19,6,G20,14,0,PBS14,1.48,65
20,6,G21,14,0,PBS14,1.48,45
21,6,G22,14,0,PBS14,1.48,60
22,6,G23,14,0,PBS14,1.48,20
23,6,G24,14,0,PBS14,1.48,30
0,7,H1,14,0,PBS14,1.48,68
1,7,H2,14,0,PBS14,1.48,40
2,7,H3,14,0,PBS14,1.48,55
3,7,H4,14,0,PBS14,1.48,13
4,7,H5,14,0,PBS14,1.48,25
5,7,H6,14,0,PBS14,1.48,15
6,7,H7,14,0,PBS14,1.48,50
7,7,H8,14,0,PBS14,1.48,65
8,7,H9,14,0,PBS14,1.48,45
9,7,H10,14,0,PBS14,1.48,60
10,7,H11,14,0,PBS14,1.48,20
11,7,H12,14,0,PBS14,1.48,30
12,7,H13,14,0,PBS14,1.48,68
13,7,H14,14,0,PBS14,1.48,40
14,7,H15,14,0,PBS14,1.48,55
15,7,H16,14,0,PBS14,1.48,13
16,7,H17,14,0,PBS14,1.48,25
17,7,H18,14,0,PBS14,1.48,15
18,7,H19,14,0,PBS14,1.48,50
19,7,H20,14,0,PBS14,1.48,65
20,7,H21,14,0,PBS14,1.48,45
21,7,H22,14,0,PBS14,1.48,60
22,7,H23,14,0,PBS14,1.48,20
23,7,H24,14,0,PBS14,1.48,30
0,8,I1,200,0,PBS200,1.48,68
1,8,I2,200,0,PBS200,1.48,40
2,8,I3,200,0,PBS200,1.48,55
3,8,I4,200,0,PBS200,1.48,13
4,8,I5,200,0,PBS200,1.48,25
5,8,I6,200,0,PBS200,1.48,15
6,8,I7,200,0,PBS200,1.48,50
7,8,I8,200,0,PBS200,1.48,65
8,8,I9,200,0,PBS200,1.48,45
9,8,I10,200,0,PBS200,1.48,60
10,8,I11,200,0,PBS200,1.48,20
11,8,I12,200,0,PBS200,1.48,30
12,8,I13,200,0,PBS200,1.48,68
13,8,I14,200,0,PBS200,1.48,40
14,8,I15,200,0,PBS200,1.48,55
15,8,I16,200,0,PBS200,1.48,13
16,8,I17,200,0,PBS200,1.48,25
17,8,I18,200,0,PBS200,1.48,15
18,8,I19,200,0,PBS200,1.48,50
19,8,I20,200,0,PBS200,1.48,65
20,8,I21,200,0,PBS200,1.48,45
21,8,I22,200,0,PBS200,1.48,60
22,8,I23,200,0,PBS200,1.48,20
23,8,I24,200,0,PBS200,1.48,30
0,9,J1,200,0,PBS200,1.48,68
1,9,J2,200,0,PBS200,1.48,40
2,9,J3,200,0,PBS200,1.48,55
3,9,J4,200,0,PBS200,1.48,13
4,9,J5,200,0,PBS200,1.48,25
5,9,J6,200,0,PBS200,1.48,15
6,9,J7,200,0,PBS200,1.48,50
7,9,J8,200,0,PBS200,1.48,65
8,9,J9,200,0,PBS200,1.48,45
9,9,J10,200,0,PBS200,1.48,60
10,9,J11,200,0,PBS200,1.48,20
11,9,J12,200,0,PBS200,1.48,30
12,9,J13,200,0,PBS200,1.48,68
13,9,J14,200,0,PBS200,1.48,40
14,9,J15,200,0,PBS200,1.48,55
15,9,J16,200,0,PBS200,1.48,13
16,9,J17,200,0,PBS200,1.48,25
17,9,J18,200,0,PBS200,1.48,15
18,9,J19,200,0,PBS200,1.48,50
19,9,J20,200,0,PBS200,1.48,65
20,9,J21,200,0,PBS200,1.48,45
21,9,J22,200,0,PBS200,1.48,60
22,9,J23,200,0,PBS200,1.48,20
23,9,J24,200,0,PBS200,1.48,30
0,10,K1,200,0,PBS200,1.48,68
1,10,K2,200,0,PBS200,1.48,40
2,10,K3,200,0,PBS200,1.48,55
3,10,K4,200,0,PBS200,1.48,13
4,10,K5,200,0,PBS200,1.48,25
5,10,K6,200,0,PBS200,1.48,15
6,10,K7,200,0,PBS200,1.48,50
7,10,K8,200,0,PBS200,1.48,65
8,10,K9,200,0,PBS200,1.48,45
9,10,K10,200,0,PBS200,1.48,60
10,10,K11,200,0,PBS200,1.48,20
11,10,K12,200,0,PBS200,1.48,30
12,10,K13,200,0,PBS200,1.48,68
13,10,K14,200,0,PBS200,1.48,40
14,10,K15,200,0,PBS200,1.48,55
15,10,K16,200,0,PBS200,1.48,13
16,10,K17,200,0,PBS200,1.48,25
17,10,K18,200,0,PBS200,1.48,15
18,10,K19,200,0,PBS200,1.48,50
19,10,K20,200,0,PBS200,1.48,65
20,10,K21,200,0,PBS200,1.48,45
21,10,K22,200,0,PBS200,1.48,60
22,10,K23,200,0,PBS200,1.48,20
23,10,K24,200,0,PBS200,1.48,30
0,11,L1,200,0,PBS200,1.48,68
1,11,L2,200,0,PBS200,1.48,40
2,11,L3,200,0,PBS200,1.48,55
3,11,L4,200,0,PBS200,1.48,13
4,11,L5,200,0,PBS200,1.48,25
5,11,L6,200,0,PBS200,1.48,15
6,11,L7,200,0,PBS200,1.48,50
7,11,L8,200,0,PBS200,1.48,65
8,11,L9,200,0,PBS200,1.48,45
9,11,L10,200,0,PBS200,1.48,60
10,11,L11,200,0,PBS200,1.48,20
11,11,L12,200,0,PBS200,1.48,30
12,11,L13,200,0,PBS200,1.48,68
13,11,L14,200,0,PBS200,1.48,40
14,11,L15,200,0,PBS200,1.48,55
15,11,L16,200,0,PBS200,1.48,13
16,11,L17,200,0,PBS200,1.48,25
17,11,L18,200,0,PBS200,1.48,15
18,11,L19,200,0,PBS200,1.48,50
19,11,L20,200,0,PBS200,1.48,65
20,11,L21,200,0,PBS200,1.48,45
21,11,L22,200,0,PBS200,1.48,60
22,11,L23,200,0,PBS200,1.48,20
23,11,L24,200,0,PBS200,1.48,30
0,12,M1,200,0,PBS200,1.48,68
1,12,M2,200,0,PBS200,1.48,40
2,12,M3,200,0,PBS200,1.48,55
3,12,M4,200,0,PBS200,1.48,13
4,12,M5,200,0,PBS200,1.48,25
5,12,M6,200,0,PBS200,1.48,15
6,12,M7,200,0,PBS200,1.48,50
7,12,M8,200,0,PBS200,1.48,65
8,12,M9,200,0,PBS200,1.48,45
9,12,M10,200,0,PBS200,1.48,60
10,12,M11,200,0,PBS200,1.48,20
11,12,M12,200,0,PBS200,1.48,30
12,12,M13,200,0,PBS200,1.48,68
13,12,M14,200,0,PBS200,1.48,40
14,12,M15,200,0,PBS200,1.48,55
15,12,M16,200,0,PBS200,1.48,13
16,12,M17,200,0,PBS200,1.48,25
17,12,M18,200,0,PBS200,1.48,15
18,12,M19,200,0,PBS200,1.48,50
19,12,M20,200,0,PBS200,1.48,65
20,12,M21,200,0,PBS200,1.48,45
21,12,M22,200,0,PBS200,1.48,60
22,12,M23,200,0,PBS200,1.48,20
23,12,M24,200,0,PBS200,1.48,30
0,13,N1,200,0,PBS200,1.48,68
1,13,N2,200,0,PBS200,1.48,40
2,13,N3,200,0,PBS200,1.48,55
3,13,N4,200,0,PBS200,1.48,13
4,13,N5,200,0,PBS200,1.48,25
5,13,N6,200,0,PBS200,1.48,15
6,13,N7,200,0,PBS200,1.48,50
7,13,N8,200,0,PBS200,1.48,65
8,13,N9,200,0,PBS200,1.48,45
9,13,N10,200,0,PBS200,1.48,60
10,13,N11,200,0,PBS200,1.48,20
11,13,N12,200,0,PBS200,1.48,30
12,13,N13,200,0,PBS200,1.48,68
13,13,N14,200,0,PBS200,1.48,40
14,13,N15,200,0,PBS200,1.48,55
15,13,N16,200,0,PBS200,1.48,13
16,13,N17,200,0,PBS200,1.48,25
17,13,N18,200,0,PBS200,1.48,15
18,13,N19,200,0,PBS200,1.48,50
19,13,N20,200,0,PBS200,1.48,65
20,13,N21,200,0,PBS200,1.48,45
21,13,N22,200,0,PBS200,1.48,60
22,13,N23,200,0,PBS200,1.48,20
23,13,N24,200,0,PBS200,1.48,30
0,14,O1,200,0,PBS200,1.48,68
1,14,O2,200,0,PBS200,1.48,40
2,14,O3,200,0,PBS200,1.48,55
3,14,O4,200,0,PBS200,1.48,13
4,14,O5,200,0,PBS200,1.48,25
5,14,O6,200,0,PBS200,1.48,15
6,14,O7,200,0,PBS200,1.48,50
7,14,O8,200,0,PBS200,1.48,65
8,14,O9,200,0,PBS200,1.48,45
9,14,O10,200,0,PBS200,1.48,60
10,14,O11,200,0,PBS200,1.48,20
11,14,O12,200,0,PBS200,1.48,30
12,14,O13,200,0,PBS200,1.48,68
13,14,O14,200,0,PBS200,1.48,40
14,14,O15,200,0,PBS200,1.48,55
15,14,O16,200,0,PBS200,1.48,13
16,14,O17,200,0,PBS200,1.48,25
17,14,O18,200,0,PBS200,1.48,15
18,14,O19,200,0,PBS200,1.48,50
19,14,O20,200,0,PBS200,1.48,65
20,14,O21,200,0,PBS200,1.48,45
21,14,O22,200,0,PBS200,1.48,60
22,14,O23,200,0,PBS200,1.48,20
23,14,O24,200,0,PBS200,1.48,30
0,15,P1,200,0,PBS200,1.48,68
1,15,P2,200,0,PBS200,1.48,40
2,15,P3,200,0,PBS200,1.48,55
3,15,P4,200,0,PBS200,1.48,13
4,15,P5,200,0,PBS200,1.48,25
5,15,P6,200,0,PBS200,1.48,15
6,15,P7,200,0,PBS200,1.48,50
7,15,P8,200,0,PBS200,1.48,65
8,15,P9,200,0,PBS200,1.48,45
9,15,P10,200,0,PBS200,1.48,60
10,15,P11,200,0,PBS200,1.48,20
11,15,P12,200,0,PBS200,1.48,30
12,15,P13,200,0,PBS200,1.48,68
13,15,P14,200,0,PBS200,1.48,40
14,15,P15,200,0,PBS200,1.48,55
15,15,P16,200,0,PBS200,1.48,13
16,15,P17,200,0,PBS200,1.48,25
17,15,P18,200,0,PBS200,1.48,15
18,15,P19,200,0,PBS200,1.48,50
19,15,P20,200,0,PBS200,1.48,65
20,15,P21,200,0,PBS200,1.48,45
21,15,P22,200,0,PBS200,1.48,60
22,15,P23,200,0,PBS200,1.48,20
23,15,P24,200,0,PBS200,1.48,30
