Col,Row,Well,mConc,mFillHeight,mFluid,mImpedance,mVolume
0,0,A1,75,0,DMSO,1.81,30
1,0,A2,75,0,DMSO,1.81,30
2,0,A3,75,0,DMSO,1.81,30
3,0,A4,75,0,DMSO,1.81,30
4,0,A5,75,0,DMSO,1.81,30
5,0,A6,75,0,DMSO,1.81,30
6,0,A7,75,0,DMSO,1.81,30
7,0,A8,75,0,DMSO,1.81,30
8,0,A9,75,0,DMSO,1.81,30
9,0,A10,75,0,DMSO,1.81,30
10,0,A11,75,0,DMSO,1.81,30
11,0,A12,75,0,DMSO,1.81,30
12,0,A13,75,0,DMSO,1.81,30
13,0,A14,75,0,DMSO,1.81,30
14,0,A15,75,0,DMSO,1.81,30
15,0,A16,75,0,DMSO,1.81,30
16,0,A17,75,0,DMSO,1.81,30
17,0,A18,75,0,DMSO,1.81,30
18,0,A19,75,0,DMSO,1.81,30
19,0,A20,75,0,DMSO,1.81,30
20,0,A21,75,0,DMSO,1.81,30
21,0,A22,75,0,DMSO,1.81,30
22,0,A23,75,0,DMSO,1.81,30
23,0,A24,75,0,DMSO,1.81,30
0,1,B1,75,0,DMSO,1.81,30
1,1,B2,75,0,DMSO,1.81,30
2,1,B3,75,0,DMSO,1.81,30
3,1,B4,75,0,DMSO,1.81,30
4,1,B5,75,0,DMSO,1.81,30
5,1,B6,75,0,DMSO,1.81,30
6,1,B7,75,0,DMSO,1.81,30
7,1,B8,75,0,DMSO,1.81,30
8,1,B9,75,0,DMSO,1.81,30
9,1,B10,75,0,DMSO,1.81,30
10,1,B11,75,0,DMSO,1.81,30
11,1,B12,75,0,DMSO,1.81,30
12,1,B13,75,0,DMSO,1.81,30
13,1,B14,75,0,DMSO,1.81,30
14,1,B15,75,0,DMSO,1.81,30
15,1,B16,75,0,DMSO,1.81,30
16,1,B17,75,0,DMSO,1.81,30
17,1,B18,75,0,DMSO,1.81,30
18,1,B19,75,0,DMSO,1.81,30
19,1,B20,75,0,DMSO,1.81,30
20,1,B21,75,0,DMSO,1.81,30
21,1,B22,75,0,DMSO,1.81,30
22,1,B23,75,0,DMSO,1.81,30
23,1,B24,75,0,DMSO,1.81,30
0,2,C1,75,0,DMSO,1.81,30
1,2,C2,75,0,DMSO,1.81,30
2,2,C3,75,0,DMSO,1.81,30
3,2,C4,75,0,DMSO,1.81,30
4,2,C5,75,0,DMSO,1.81,30
5,2,C6,75,0,DMSO,1.81,30
