Col,Row,Well,mConc,mFillHeight,mFluid,mImpedance,mVolume
0,0,A1,70,0,DMSO,1.83,68
1,0,A2,70,0,DMSO,1.83,40
2,0,A3,70,0,DMSO,1.83,55
3,0,A4,70,0,DMSO,1.83,13
4,0,A5,70,0,DMSO,1.83,25
5,0,A6,70,0,DMSO,1.83,15
6,0,A7,70,0,DMSO,1.83,50
7,0,A8,70,0,DMSO,1.83,65
8,0,A9,70,0,DMSO,1.83,45
9,0,A10,70,0,DMSO,1.83,60
10,0,A11,70,0,DMSO,1.83,20
11,0,A12,70,0,DMSO,1.83,30
12,0,A13,70,0,DMSO,1.83,68
13,0,A14,70,0,DMSO,1.83,40
14,0,A15,70,0,DMSO,1.83,55
15,0,A16,70,0,DMSO,1.83,13
16,0,A17,70,0,DMSO,1.83,25
17,0,A18,70,0,DMSO,1.83,15
18,0,A19,70,0,DMSO,1.83,50
19,0,A20,70,0,DMSO,1.83,65
20,0,A21,70,0,DMSO,1.83,45
21,0,A22,70,0,DMSO,1.83,60
22,0,A23,70,0,DMSO,1.83,20
23,0,A24,70,0,DMSO,1.83,30
0,1,B1,75,0,DMSO,1.81,68
1,1,B2,75,0,DMSO,1.81,40
2,1,B3,75,0,DMSO,1.81,55
3,1,B4,75,0,DMSO,1.81,13
4,1,B5,75,0,DMSO,1.81,25
5,1,B6,75,0,DMSO,1.81,15
6,1,B7,75,0,DMSO,1.81,50
7,1,B8,75,0,DMSO,1.81,65
8,1,B9,75,0,DMSO,1.81,45
9,1,B10,75,0,DMSO,1.81,60
10,1,B11,75,0,DMSO,1.81,20
11,1,B12,75,0,DMSO,1.81,30
12,1,B13,75,0,DMSO,1.81,68
13,1,B14,75,0,DMSO,1.81,40
14,1,B15,75,0,DMSO,1.81,55
15,1,B16,75,0,DMSO,1.81,13
16,1,B17,75,0,DMSO,1.81,25
17,1,B18,75,0,DMSO,1.81,15
18,1,B19,75,0,DMSO,1.81,50
19,1,B20,75,0,DMSO,1.81,65
20,1,B21,75,0,DMSO,1.81,45
21,1,B22,75,0,DMSO,1.81,60
22,1,B23,75,0,DMSO,1.81,20
23,1,B24,75,0,DMSO,1.81,30
0,2,C1,80,0,DMSO,1.78,68
1,2,C2,80,0,DMSO,1.78,40
2,2,C3,80,0,DMSO,1.78,55
3,2,C4,80,0,DMSO,1.78,13
4,2,C5,80,0,DMSO,1.78,25
5,2,C6,80,0,DMSO,1.78,15
6,2,C7,80,0,DMSO,1.78,50
7,2,C8,80,0,DMSO,1.78,65
8,2,C9,80,0,DMSO,1.78,45
9,2,C10,80,0,DMSO,1.78,60
10,2,C11,80,0,DMSO,1.78,20
11,2,C12,80,0,DMSO,1.78,30
12,2,C13,80,0,DMSO,1.78,68
13,2,C14,80,0,DMSO,1.78,40
14,2,C15,80,0,DMSO,1.78,55
15,2,C16,80,0,DMSO,1.78,13
16,2,C17,80,0,DMSO,1.78,25
17,2,C18,80,0,DMSO,1.78,15
18,2,C19,80,0,DMSO,1.78,50
19,2,C20,80,0,DMSO,1.78,65
20,2,C21,80,0,DMSO,1.78,45
21,2,C22,80,0,DMSO,1.78,60
22,2,C23,80,0,DMSO,1.78,20
23,2,C24,80,0,DMSO,1.78,30
0,3,D1,85,0,DMSO,1.75,68
1,3,D2,85,0,DMSO,1.75,40
2,3,D3,85,0,DMSO,1.75,55
