Col,Row,Well,mConc,mFillHeight,mFluid,mImpedance,mVolume
0,0,A1,0,0,GPS00,1.59,65
1,0,A2,0,0,GPS00,1.59,65
2,0,A3,0,0,GPS00,1.59,50
3,0,A4,0,0,GPS00,1.59,50
4,0,A5,0,0,GPS00,1.59,35
5,0,A6,0,0,GPS00,1.59,35
6,0,A7,0,0,GPS00,1.59,25
7,0,A8,0,0,GPS00,1.59,25
8,0,A9,14,0,GPS14,1.59,65
9,0,A10,14,0,GPS14,1.59,65
10,0,A11,14,0,GPS14,1.59,50
11,0,A12,14,0,GPS14,1.59,50
12,0,A13,14,0,GPS14,1.59,35
13,0,A14,14,0,GPS14,1.59,35
14,0,A15,14,0,GPS14,1.59,25
15,0,A16,14,0,GPS14,1.59,25
16,0,A17,25,0,GPS25,1.59,65
17,0,A18,25,0,GPS25,1.59,65
18,0,A19,25,0,GPS25,1.59,50
19,0,A20,25,0,GPS25,1.59,50
20,0,A21,25,0,GPS25,1.59,35
21,0,A22,25,0,GPS25,1.59,35
22,0,A23,25,0,GPS25,1.59,25
23,0,A24,25,0,GPS25,1.59,25
0,1,B1,0,0,GPS00,1.59,65
1,1,B2,0,0,GPS00,1.59,65
2,1,B3,0,0,GPS00,1.59,50
3,1,B4,0,0,GPS00,1.59,50
4,1,B5,0,0,GPS00,1.59,35
5,1,B6,0,0,GPS00,1.59,35
6,1,B7,0,0,GPS00,1.59,25
7,1,B8,0,0,GPS00,1.59,25
8,1,B9,14,0,GPS14,1.59,65
9,1,B10,14,0,GPS14,1.59,65
10,1,B11,14,0,GPS14,1.59,50
11,1,B12,14,0,GPS14,1.59,50
12,1,B13,14,0,GPS14,1.59,35
13,1,B14,14,0,GPS14,1.59,35
14,1,B15,14,0,GPS14,1.59,25
15,1,B16,14,0,GPS14,1.59,25
16,1,B17,25,0,GPS25,1.59,65
17,1,B18,25,0,GPS25,1.59,65
18,1,B19,25,0,GPS25,1.59,50
19,1,B20,25,0,GPS25,1.59,50
20,1,B21,25,0,GPS25,1.59,35
21,1,B22,25,0,GPS25,1.59,35
22,1,B23,25,0,GPS25,1.59,25
23,1,B24,25,0,GPS25,1.59,25
0,2,C1,0,0,GPS00,1.59,65
1,2,C2,0,0,GPS00,1.59,65
2,2,C3,0,0,GPS00,1.59,50
3,2,C4,0,0,GPS00,1.59,50
4,2,C5,0,0,GPS00,1.59,35
5,2,C6,0,0,GPS00,1.59,35
6,2,C7,0,0,GPS00,1.59,25
7,2,C8,0,0,GPS00,1.59,25
8,2,C9,14,0,GPS14,1.59,65
9,2,C10,14,0,GPS14,1.59,65
10,2,C11,14,0,GPS14,1.59,50
11,2,C12,14,0,GPS14,1.59,50
12,2,C13,14,0,GPS14,1.59,35
13,2,C14,14,0,GPS14,1.59,35
14,2,C15,14,0,GPS14,1.59,25
15,2,C16,14,0,GPS14,1.59,25
16,2,C17,25,0,GPS25,1.59,65
17,2,C18,25,0,GPS25,1.59,65
18,2,C19,25,0,GPS25,1.59,50
