Col,Row,Well,mConc,mFillHeight,mFluid,mImpedance,mVolume
0,0,A1,80,0,DMSO,1.78,30
1,0,A2,80,0,DMSO,1.78,30
2,0,A3,80,0,DMSO,1.78,30
3,0,A4,80,0,DMSO,1.78,30
4,0,A5,80,0,DMSO,1.78,30
5,0,A6,80,0,DMSO,1.78,30
6,0,A7,80,0,DMSO,1.78,30
7,0,A8,80,0,DMSO,1.78,30
8,0,A9,80,0,DMSO,1.78,30
9,0,A10,80,0,DMSO,1.78,30
10,0,A11,80,0,DMSO,1.78,30
11,0,A12,80,0,DMSO,1.78,30
12,0,A13,80,0,DMSO,1.78,30
13,0,A14,80,0,DMSO,1.78,30
14,0,A15,80,0,DMSO,1.78,30
15,0,A16,80,0,DMSO,1.78,30
16,0,A17,80,0,DMSO,1.78,30
17,0,A18,80,0,DMSO,1.78,30
18,0,A19,80,0,DMSO,1.78,30
19,0,A20,80,0,DMSO,1.78,30
20,0,A21,80,0,DMSO,1.78,30
21,0,A22,80,0,DMSO,1.78,30
22,0,A23,80,0,DMSO,1.78,30
23,0,A24,80,0,DMSO,1.78,30
0,1,B1,80,0,DMSO,1.78,30
1,1,B2,80,0,DMSO,1.78,30
2,1,B3,80,0,DMSO,1.78,30
3,1,B4,80,0,DMSO,1.78,30
4,1,B5,80,0,DMSO,1.78,30
5,1,B6,80,0,DMSO,1.78,30
6,1,B7,80,0,DMSO,1.78,30
7,1,B8,80,0,DMSO,1.78,30
8,1,B9,80,0,DMSO,1.78,30
9,1,B10,80,0,DMSO,1.78,30
10,1,B11,80,0,DMSO,1.78,30
11,1,B12,80,0,DMSO,1.78,30
12,1,B13,80,0,DMSO,1.78,30
13,1,B14,80,0,DMSO,1.78,30
14,1,B15,80,0,DMSO,1.78,30
15,1,B16,80,0,DMSO,1.78,30
16,1,B17,80,0,DMSO,1.78,30
17,1,B18,80,0,DMSO,1.78,30
18,1,B19,80,0,DMSO,1.78,30
19,1,B20,80,0,DMSO,1.78,30
20,1,B21,80,0,DMSO,1.78,30
21,1,B22,80,0,DMSO,1.78,30
22,1,B23,80,0,DMSO,1.78,30
23,1,B24,80,0,DMSO,1.78,30
0,2,C1,80,0,DMSO,1.78,30
1,2,C2,80,0,DMSO,1.78,30
2,2,C3,80,0,DMSO,1.78,30
3,2,C4,80,0,DMSO,1.78,30
4,2,C5,80,0,DMSO,1.78,30
5,2,C6,80,0,DMSO,1.78,30
6,2,C7,80,0,DMSO,1.78,30
7,2,C8,80,0,DMSO,1.78,30
8,2,C9,80,0,DMSO,1.78,30
9,2,C10,80,0,DMSO,1.78,30
10,2,C11,80,0,DMSO,1.78,30
11,2,C12,80,0,DMSO,1.78,30
12,2,C13,80,0,DMSO,1.78,30
13,2,C14,80,0,DMSO,1.78,30
14,2,C15,80,0,DMSO,1.78,30
15,2,C16,80,0,DMSO,1.78,30
16,2,C17,80,0,DMSO,1.78,30
17,2,C18,80,0,DMSO,1.78,30
18,2,C19,80,0,DMSO,1.78,30
19,2,C20,80,0,DMSO,1.78,30
20,2,C21,80,0,DMSO,1.78,30
21,2,C22,80,0,DMSO,1.78,30
22,2,C23,80,0,DMSO,1.78,30
23,2,C24,80,0,DMSO,1.78,30
0,3,D1,80,0,DMSO,1.78,30
1,3,D2,80,0,DMSO,1.78,30
2,3,D3,80,0,DMSO,1.78,30
