Col,Row,Well,mConc,mFillHeight,mFluid,mImpedance,mVolume
0,0,A1,70,0,DMSO,1.83,18
1,0,A2,70,0,DMSO,1.83,18
2,0,A3,70,0,DMSO,1.83,18
3,0,A4,70,0,DMSO,1.83,18
4,0,A5,70,0,DMSO,1.83,55
5,0,A6,70,0,DMSO,1.83,55
6,0,A7,70,0,DMSO,1.83,55
7,0,A8,70,0,DMSO,1.83,55
8,0,A9,70,0,DMSO,1.83,90
9,0,A10,70,0,DMSO,1.83,90
10,0,A11,70,0,DMSO,1.83,90
11,0,A12,70,0,DMSO,1.83,90
0,1,B1,70,0,DMSO,1.83,18
1,1,B2,70,0,DMSO,1.83,18
2,1,B3,70,0,DMSO,1.83,18
3,1,B4,70,0,DMSO,1.83,18
4,1,B5,70,0,DMSO,1.83,55
5,1,B6,70,0,DMSO,1.83,55
6,1,B7,70,0,DMSO,1.83,55
7,1,B8,70,0,DMSO,1.83,55
8,1,B9,70,0,DMSO,1.83,90
9,1,B10,70,0,DMSO,1.83,90
10,1,B11,70,0,DMSO,1.83,90
11,1,B12,70,0,DMSO,1.83,90
0,2,C1,70,0,DMSO,1.83,18
1,2,C2,70,0,DMSO,1.83,18
2,2,C3,70,0,DMSO,1.83,18
3,2,C4,70,0,DMSO,1.83,18
4,2,C5,70,0,DMSO,1.83,55
5,2,C6,70,0,DMSO,1.83,55
6,2,C7,70,0,DMSO,1.83,55
7,2,C8,70,0,DMSO,1.83,55
8,2,C9,70,0,DMSO,1.83,90
9,2,C10,70,0,DMSO,1.83,90
10,2,C11,70,0,DMSO,1.83,90
11,2,C12,70,0,DMSO,1.83,90
0,3,D1,70,0,DMSO,1.83,18
1,3,D2,70,0,DMSO,1.83,18
2,3,D3,70,0,DMSO,1.83,18
3,3,D4,70,0,DMSO,1.83,18
4,3,D5,70,0,DMSO,1.83,55
5,3,D6,70,0,DMSO,1.83,55
6,3,D7,70,0,DMSO,1.83,55
7,3,D8,70,0,DMSO,1.83,55
8,3,D9,70,0,DMSO,1.83,90
9,3,D10,70,0,DMSO,1.83,90
10,3,D11,70,0,DMSO,1.83,90
11,3,D12,70,0,DMSO,1.83,90
0,4,E1,70,0,DMSO,1.83,18
1,4,E2,70,0,DMSO,1.83,18
2,4,E3,70,0,DMSO,1.83,18
3,4,E4,70,0,DMSO,1.83,18
4,4,E5,70,0,DMSO,1.83,55
5,4,E6,70,0,DMSO,1.83,55
6,4,E7,70,0,DMSO,1.83,55
7,4,E8,70,0,DMSO,1.83,55
8,4,E9,70,0,DMSO,1.83,90
9,4,E10,70,0,DMSO,1.83,90
10,4,E11,70,0,DMSO,1.83,90
11,4,E12,70,0,DMSO,1.83,90
0,5,F1,70,0,DMSO,1.83,18
1,5,F2,70,0,DMSO,1.83,18
2,5,F3,70,0,DMSO,1.83,18
3,5,F4,70,0,DMSO,1.83,18
4,5,F5,70,0,DMSO,1.83,55
5,5,F6,70,0,DMSO,1.83,55
6,5,F7,70,0,DMSO,1.83,55
7,5,F8,70,0,DMSO,1.83,55
8,5,F9,70,0,DMSO,1.83,90
9,5,F10,70,0,DMSO,1.83,90
10,5,F11,70,0,DMSO,1.83,90
11,5,F12,70,0,DMSO,1.83,90
0,6,G1,70,0,DMSO,1.83,18
1,6,G2,70,0,DMSO,1.83,18
2,6,G3,70,0,DMSO,1.83,18
3,6,G4,70,0,DMSO,1.83,18
4,6,G5,70,0,DMSO,1.83,55
5,6,G6,70,0,DMSO,1.83,55
6,6,G7,70,0,DMSO,1.83,55
7,6,G8,70,0,DMSO,1.83,55
8,6,G9,70,0,DMSO,1.83,90
9,6,G10,70,0,DMSO,1.83,90
10,6,G11,70,0,DMSO,1.83,90
11,6,G12,70,0,DMSO,1.83,90
0,7,H1,70,0,DMSO,1.83,18
1,7,H2,70,0,DMSO,1.83,18
2,7,H3,70,0,DMSO,1.83,18
3,7,H4,70,0,DMSO,1.83,18
4,7,H5,70,0,DMSO,1.83,55
5,7,H6,70,0,DMSO,1.83,55
6,7,H7,70,0,DMSO,1.83,55
7,7,H8,70,0,DMSO,1.83,55
8,7,H9,70,0,DMSO,1.83,90
9,7,H10,70,0,DMSO,1.83,90
10,7,H11,70,0,DMSO,1.83,90
11,7,H12,70,0,DMSO,1.83,90
