BarCode,PlateType,Style,Fluid,Conc,Vol,Version,Filename,Arena Part Number
8111--2#########,384LDVS_PLUS_AQ_GP,UCP,GLY,-,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384LDVS_PLUS_AQ_GP\\001-15378__8111--2__384LDVS_PLUS_AQ_GP__UCP__-__GLY__v2.csv,001-15378
8141a-2#########,384LDVS_PLUS_AQ_GP,FT,GLY,0,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384LDVS_PLUS_AQ_GP\\001-14406__8141a-2__384LDVS_PLUS_AQ_GP__FT__0__GLY__v2.csv,001-14406
8141b-2#########,384LDVS_PLUS_AQ_GP,FT,GLY,10,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384LDVS_PLUS_AQ_GP\\001-14406__8141b-2__384LDVS_PLUS_AQ_GP__FT__10__GLY__v2.csv,001-14406
8141c-2#########,384LDVS_PLUS_AQ_GP,FT,GLY,20,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384LDVS_PLUS_AQ_GP\\001-14407__8141c-2__384LDVS_PLUS_AQ_GP__FT__20__GLY__v2.csv,001-14407
8141d-2#########,384LDVS_PLUS_AQ_GP,FT,GLY,30,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384LDVS_PLUS_AQ_GP\\001-14408__8141d-2__384LDVS_PLUS_AQ_GP__FT__30__GLY__v2.csv,001-14408
8141e-2#########,384LDVS_PLUS_AQ_GP,FT,GLY,40,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384LDVS_PLUS_AQ_GP\\001-14409__8141e-2__384LDVS_PLUS_AQ_GP__FT__40__GLY__v2.csv,001-14409
8141f-2#########,384LDVS_PLUS_AQ_GP,FT,GLY,50,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384LDVS_PLUS_AQ_GP\\001-14410__8141f-2__384LDVS_PLUS_AQ_GP__FT__50__GLY__v2.csv,001-14410
8161-h3#########,384LDVS_PLUS_AQ_GP,DD,GLY,-,14,3,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384LDVS_PLUS_AQ_GP\\001-14418__8161-h2__384LDVS_PLUS_AQ_GP__DD__-__GLY__14uL__v2.csv,001-14418
11326-2#########,384LDVS_AQ_B2,ICP,AQ,100,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384LDVS_AQ_B2\\001-13592__11326-2__384LDVS_AQ_B2__ICP__100__AQ__v2.csv,001-13592
1152602#########,384LDVS_AQ_B2,FF,AQ,100,2.75,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384LDVS_AQ_B2\\001-13593__1152602__384LDVS_AQ_B2__FF__100__AQ__2.75uL__v2.csv,001-13593
1152612#########,384LDVS_AQ_B2,FF,AQ,100,4,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384LDVS_AQ_B2\\001-13594__1152612__384LDVS_AQ_B2__FF__100__AQ__4uL__v2.csv,001-13594
1152622#########,384LDVS_AQ_B2,FF,AQ,100,6,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384LDVS_AQ_B2\\001-13595__1152622__384LDVS_AQ_B2__FF__100__AQ__6uL__v2.csv,001-13595
