Col,Row,Well,mConc,mFillHeight,mFluid,mImpedance,mVolume
0,0,A1,80,0,DMSO,1.78,4.0
1,0,A2,80,0,DMSO,1.78,4.5
2,0,A3,80,0,DMSO,1.78,4.0
3,0,A4,80,0,DMSO,1.78,4.5
4,0,A5,80,0,DMSO,1.78,4.0
5,0,A6,80,0,DMSO,1.78,4.5
6,0,A7,80,0,DMSO,1.78,4.0
7,0,A8,80,0,DMSO,1.78,4.5
8,0,A9,80,0,DMSO,1.78,4.0
9,0,A10,80,0,DMSO,1.78,4.5
10,0,A11,80,0,DMSO,1.78,4.0
11,0,A12,80,0,DMSO,1.78,4.5
12,0,A13,80,0,DMSO,1.78,4.0
13,0,A14,80,0,DMSO,1.78,4.5
14,0,A15,80,0,DMSO,1.78,4.0
15,0,A16,80,0,DMSO,1.78,4.5
16,0,A17,80,0,DMSO,1.78,4.0
17,0,A18,80,0,DMSO,1.78,4.5
18,0,A19,80,0,DMSO,1.78,4.0
19,0,A20,80,0,DMSO,1.78,4.5
20,0,A21,80,0,DMSO,1.78,4.0
21,0,A22,80,0,DMSO,1.78,4.5
22,0,A23,80,0,DMSO,1.78,4.0
23,0,A24,80,0,DMSO,1.78,4.5
24,0,A25,80,0,DMSO,1.78,1.0
25,0,A26,80,0,DMSO,1.78,1.5
26,0,A27,80,0,DMSO,1.78,1.0
27,0,A28,80,0,DMSO,1.78,1.5
28,0,A29,80,0,DMSO,1.78,1.0
29,0,A30,80,0,DMSO,1.78,1.5
30,0,A31,80,0,DMSO,1.78,1.0
31,0,A32,80,0,DMSO,1.78,1.5
32,0,A33,80,0,DMSO,1.78,1.0
33,0,A34,80,0,DMSO,1.78,1.5
34,0,A35,80,0,DMSO,1.78,1.0
35,0,A36,80,0,DMSO,1.78,1.5
36,0,A37,80,0,DMSO,1.78,1.0
37,0,A38,80,0,DMSO,1.78,1.5
38,0,A39,80,0,DMSO,1.78,1.0
39,0,A40,80,0,DMSO,1.78,1.5
40,0,A41,80,0,DMSO,1.78,1.0
41,0,A42,80,0,DMSO,1.78,1.5
42,0,A43,80,0,DMSO,1.78,1.0
43,0,A44,80,0,DMSO,1.78,1.5
44,0,A45,80,0,DMSO,1.78,1.0
45,0,A46,80,0,DMSO,1.78,1.5
46,0,A47,80,0,DMSO,1.78,1.0
47,0,A48,80,0,DMSO,1.78,1.5
0,1,B1,80,0,DMSO,1.78,5.0
1,1,B2,80,0,DMSO,1.78,5.5
2,1,B3,80,0,DMSO,1.78,5.0
3,1,B4,80,0,DMSO,1.78,5.5
4,1,B5,80,0,DMSO,1.78,5.0
5,1,B6,80,0,DMSO,1.78,5.5
6,1,B7,80,0,DMSO,1.78,5.0
7,1,B8,80,0,DMSO,1.78,5.5
8,1,B9,80,0,DMSO,1.78,5.0
9,1,B10,80,0,DMSO,1.78,5.5
10,1,B11,80,0,DMSO,1.78,5.0
11,1,B12,80,0,DMSO,1.78,5.5
12,1,B13,80,0,DMSO,1.78,5.0
13,1,B14,80,0,DMSO,1.78,5.5
14,1,B15,80,0,DMSO,1.78,5.0
15,1,B16,80,0,DMSO,1.78,5.5
16,1,B17,80,0,DMSO,1.78,5.0
17,1,B18,80,0,DMSO,1.78,5.5
18,1,B19,80,0,DMSO,1.78,5.0
19,1,B20,80,0,DMSO,1.78,5.5
20,1,B21,80,0,DMSO,1.78,5.0
21,1,B22,80,0,DMSO,1.78,5.5
22,1,B23,80,0,DMSO,1.78,5.0
23,1,B24,80,0,DMSO,1.78,5.5
24,1,B25,80,0,DMSO,1.78,2.0
25,1,B26,80,0,DMSO,1.78,3.0
26,1,B27,80,0,DMSO,1.78,2.0
27,1,B28,80,0,DMSO,1.78,3.0
28,1,B29,80,0,DMSO,1.78,2.0
29,1,B30,80,0,DMSO,1.78,3.0
30,1,B31,80,0,DMSO,1.78,2.0
31,1,B32,80,0,DMSO,1.78,3.0
32,1,B33,80,0,DMSO,1.78,2.0
33,1,B34,80,0,DMSO,1.78,3.0
34,1,B35,80,0,DMSO,1.78,2.0
35,1,B36,80,0,DMSO,1.78,3.0
36,1,B37,80,0,DMSO,1.78,2.0
37,1,B38,80,0,DMSO,1.78,3.0
38,1,B39,80,0,DMSO,1.78,2.0
39,1,B40,80,0,DMSO,1.78,3.0
40,1,B41,80,0,DMSO,1.78,2.0
41,1,B42,80,0,DMSO,1.78,3.0
42,1,B43,80,0,DMSO,1.78,2.0
43,1,B44,80,0,DMSO,1.78,3.0
44,1,B45,80,0,DMSO,1.78,2.0
45,1,B46,80,0,DMSO,1.78,3.0
46,1,B47,80,0,DMSO,1.78,2.0
47,1,B48,80,0,DMSO,1.78,3.0
0,2,C1,80,0,DMSO,1.78,4.0
1,2,C2,80,0,DMSO,1.78,4.5
2,2,C3,80,0,DMSO,1.78,4.0
3,2,C4,80,0,DMSO,1.78,4.5
4,2,C5,80,0,DMSO,1.78,4.0
5,2,C6,80,0,DMSO,1.78,4.5
6,2,C7,80,0,DMSO,1.78,4.0
7,2,C8,80,0,DMSO,1.78,4.5
8,2,C9,80,0,DMSO,1.78,4.0
9,2,C10,80,0,DMSO,1.78,4.5
10,2,C11,80,0,DMSO,1.78,4.0
11,2,C12,80,0,DMSO,1.78,4.5
12,2,C13,80,0,DMSO,1.78,4.0
13,2,C14,80,0,DMSO,1.78,4.5
14,2,C15,80,0,DMSO,1.78,4.0
15,2,C16,80,0,DMSO,1.78,4.5
16,2,C17,80,0,DMSO,1.78,4.0
17,2,C18,80,0,DMSO,1.78,4.5
18,2,C19,80,0,DMSO,1.78,4.0
19,2,C20,80,0,DMSO,1.78,4.5
