Col,Row,Well,mConc,mFillHeight,mFluid,mImpedance,mVolume
0,0,A1,70,0,DMSO,1.83,3.5
1,0,A2,70,0,DMSO,1.83,1.2
2,0,A3,70,0,DMSO,1.83,3.5
3,0,A4,70,0,DMSO,1.83,1.2
4,0,A5,70,0,DMSO,1.83,3.5
5,0,A6,70,0,DMSO,1.83,1.2
6,0,A7,70,0,DMSO,1.83,3.5
7,0,A8,70,0,DMSO,1.83,1.2
8,0,A9,70,0,DMSO,1.83,3.5
9,0,A10,70,0,DMSO,1.83,1.2
10,0,A11,70,0,DMSO,1.83,3.5
11,0,A12,70,0,DMSO,1.83,1.2
12,0,A13,70,0,DMSO,1.83,3.5
13,0,A14,70,0,DMSO,1.83,1.2
14,0,A15,70,0,DMSO,1.83,3.5
15,0,A16,70,0,DMSO,1.83,1.2
16,0,A17,70,0,DMSO,1.83,3.5
17,0,A18,70,0,DMSO,1.83,1.2
18,0,A19,70,0,DMSO,1.83,3.5
19,0,A20,70,0,DMSO,1.83,1.2
20,0,A21,70,0,DMSO,1.83,3.5
21,0,A22,70,0,DMSO,1.83,1.2
22,0,A23,70,0,DMSO,1.83,3.5
23,0,A24,70,0,DMSO,1.83,1.2
24,0,A25,70,0,DMSO,1.83,2.5
25,0,A26,70,0,DMSO,1.83,3.0
26,0,A27,70,0,DMSO,1.83,2.5
27,0,A28,70,0,DMSO,1.83,3.0
28,0,A29,70,0,DMSO,1.83,2.5
29,0,A30,70,0,DMSO,1.83,3.0
30,0,A31,70,0,DMSO,1.83,2.5
31,0,A32,70,0,DMSO,1.83,3.0
32,0,A33,70,0,DMSO,1.83,2.5
33,0,A34,70,0,DMSO,1.83,3.0
34,0,A35,70,0,DMSO,1.83,2.5
35,0,A36,70,0,DMSO,1.83,3.0
36,0,A37,70,0,DMSO,1.83,2.5
37,0,A38,70,0,DMSO,1.83,3.0
38,0,A39,70,0,DMSO,1.83,2.5
39,0,A40,70,0,DMSO,1.83,3.0
40,0,A41,70,0,DMSO,1.83,2.5
41,0,A42,70,0,DMSO,1.83,3.0
42,0,A43,70,0,DMSO,1.83,2.5
43,0,A44,70,0,DMSO,1.83,3.0
44,0,A45,70,0,DMSO,1.83,2.5
45,0,A46,70,0,DMSO,1.83,3.0
46,0,A47,70,0,DMSO,1.83,2.5
47,0,A48,70,0,DMSO,1.83,3.0
0,1,B1,70,0,DMSO,1.83,1.5
1,1,B2,70,0,DMSO,1.83,2.0
2,1,B3,70,0,DMSO,1.83,1.5
3,1,B4,70,0,DMSO,1.83,2.0
4,1,B5,70,0,DMSO,1.83,1.5
5,1,B6,70,0,DMSO,1.83,2.0
6,1,B7,70,0,DMSO,1.83,1.5
7,1,B8,70,0,DMSO,1.83,2.0
8,1,B9,70,0,DMSO,1.83,1.5
9,1,B10,70,0,DMSO,1.83,2.0
10,1,B11,70,0,DMSO,1.83,1.5
11,1,B12,70,0,DMSO,1.83,2.0
12,1,B13,70,0,DMSO,1.83,1.5
13,1,B14,70,0,DMSO,1.83,2.0
14,1,B15,70,0,DMSO,1.83,1.5
15,1,B16,70,0,DMSO,1.83,2.0
16,1,B17,70,0,DMSO,1.83,1.5
17,1,B18,70,0,DMSO,1.83,2.0
18,1,B19,70,0,DMSO,1.83,1.5
19,1,B20,70,0,DMSO,1.83,2.0
20,1,B21,70,0,DMSO,1.83,1.5
21,1,B22,70,0,DMSO,1.83,2.0
22,1,B23,70,0,DMSO,1.83,1.5
23,1,B24,70,0,DMSO,1.83,2.0
24,1,B25,70,0,DMSO,1.83,3.5
25,1,B26,70,0,DMSO,1.83,4.0
26,1,B27,70,0,DMSO,1.83,3.5
27,1,B28,70,0,DMSO,1.83,4.0
28,1,B29,70,0,DMSO,1.83,3.5
29,1,B30,70,0,DMSO,1.83,4.0
30,1,B31,70,0,DMSO,1.83,3.5
31,1,B32,70,0,DMSO,1.83,4.0
32,1,B33,70,0,DMSO,1.83,3.5
33,1,B34,70,0,DMSO,1.83,4.0
34,1,B35,70,0,DMSO,1.83,3.5
35,1,B36,70,0,DMSO,1.83,4.0
36,1,B37,70,0,DMSO,1.83,3.5
37,1,B38,70,0,DMSO,1.83,4.0
38,1,B39,70,0,DMSO,1.83,3.5
39,1,B40,70,0,DMSO,1.83,4.0
40,1,B41,70,0,DMSO,1.83,3.5
41,1,B42,70,0,DMSO,1.83,4.0
42,1,B43,70,0,DMSO,1.83,3.5
43,1,B44,70,0,DMSO,1.83,4.0
44,1,B45,70,0,DMSO,1.83,3.5
45,1,B46,70,0,DMSO,1.83,4.0
46,1,B47,70,0,DMSO,1.83,3.5
47,1,B48,70,0,DMSO,1.83,4.0
0,2,C1,75,0,DMSO,1.81,3.5
1,2,C2,75,0,DMSO,1.81,1.2
2,2,C3,75,0,DMSO,1.81,3.5
3,2,C4,75,0,DMSO,1.81,1.2
4,2,C5,75,0,DMSO,1.81,3.5
5,2,C6,75,0,DMSO,1.81,1.2
6,2,C7,75,0,DMSO,1.81,3.5
7,2,C8,75,0,DMSO,1.81,1.2
8,2,C9,75,0,DMSO,1.81,3.5
9,2,C10,75,0,DMSO,1.81,1.2
10,2,C11,75,0,DMSO,1.81,3.5
11,2,C12,75,0,DMSO,1.81,1.2
12,2,C13,75,0,DMSO,1.81,3.5
13,2,C14,75,0,DMSO,1.81,1.2
14,2,C15,75,0,DMSO,1.81,3.5
15,2,C16,75,0,DMSO,1.81,1.2
16,2,C17,75,0,DMSO,1.81,3.5
17,2,C18,75,0,DMSO,1.81,1.2
18,2,C19,75,0,DMSO,1.81,3.5
19,2,C20,75,0,DMSO,1.81,1.2
20,2,C21,75,0,DMSO,1.81,3.5
21,2,C22,75,0,DMSO,1.81,1.2
22,2,C23,75,0,DMSO,1.81,3.5
23,2,C24,75,0,DMSO,1.81,1.2
24,2,C25,75,0,DMSO,1.81,2.5
25,2,C26,75,0,DMSO,1.81,3.0
26,2,C27,75,0,DMSO,1.81,2.5
27,2,C28,75,0,DMSO,1.81,3.0
28,2,C29,75,0,DMSO,1.81,2.5
29,2,C30,75,0,DMSO,1.81,3.0
30,2,C31,75,0,DMSO,1.81,2.5
31,2,C32,75,0,DMSO,1.81,3.0
32,2,C33,75,0,DMSO,1.81,2.5
