Col,Row,Well,mConc,mFillHeight,mFluid,mImpedance,mVolume
0,0,A1,75,0,DMSO,1.81,4
1,0,A2,75,0,DMSO,1.81,4
2,0,A3,75,0,DMSO,1.81,4
3,0,A4,75,0,DMSO,1.81,4
4,0,A5,75,0,DMSO,1.81,4
5,0,A6,75,0,DMSO,1.81,4
6,0,A7,75,0,DMSO,1.81,4
7,0,A8,75,0,DMSO,1.81,4
8,0,A9,75,0,DMSO,1.81,4
9,0,A10,75,0,DMSO,1.81,4
10,0,A11,75,0,DMSO,1.81,4
11,0,A12,75,0,DMSO,1.81,4
12,0,A13,75,0,DMSO,1.81,4
13,0,A14,75,0,DMSO,1.81,4
14,0,A15,75,0,DMSO,1.81,4
15,0,A16,75,0,DMSO,1.81,4
16,0,A17,75,0,DMSO,1.81,4
17,0,A18,75,0,DMSO,1.81,4
18,0,A19,75,0,DMSO,1.81,4
19,0,A20,75,0,DMSO,1.81,4
20,0,A21,75,0,DMSO,1.81,4
21,0,A22,75,0,DMSO,1.81,4
22,0,A23,75,0,DMSO,1.81,4
23,0,A24,75,0,DMSO,1.81,4
24,0,A25,75,0,DMSO,1.81,4
25,0,A26,75,0,DMSO,1.81,4
26,0,A27,75,0,DMSO,1.81,4
27,0,A28,75,0,DMSO,1.81,4
28,0,A29,75,0,DMSO,1.81,4
29,0,A30,75,0,DMSO,1.81,4
30,0,A31,75,0,DMSO,1.81,4
31,0,A32,75,0,DMSO,1.81,4
32,0,A33,75,0,DMSO,1.81,4
33,0,A34,75,0,DMSO,1.81,4
34,0,A35,75,0,DMSO,1.81,4
35,0,A36,75,0,DMSO,1.81,4
36,0,A37,75,0,DMSO,1.81,4
37,0,A38,75,0,DMSO,1.81,4
38,0,A39,75,0,DMSO,1.81,4
39,0,A40,75,0,DMSO,1.81,4
40,0,A41,75,0,DMSO,1.81,4
41,0,A42,75,0,DMSO,1.81,4
42,0,A43,75,0,DMSO,1.81,4
43,0,A44,75,0,DMSO,1.81,4
44,0,A45,75,0,DMSO,1.81,4
45,0,A46,75,0,DMSO,1.81,4
46,0,A47,75,0,DMSO,1.81,4
47,0,A48,75,0,DMSO,1.81,4
0,1,B1,75,0,DMSO,1.81,4
1,1,B2,75,0,DMSO,1.81,4
2,1,B3,75,0,DMSO,1.81,4
3,1,B4,75,0,DMSO,1.81,4
4,1,B5,75,0,DMSO,1.81,4
5,1,B6,75,0,DMSO,1.81,4
6,1,B7,75,0,DMSO,1.81,4
7,1,B8,75,0,DMSO,1.81,4
8,1,B9,75,0,DMSO,1.81,4
9,1,B10,75,0,DMSO,1.81,4
10,1,B11,75,0,DMSO,1.81,4
11,1,B12,75,0,DMSO,1.81,4
12,1,B13,75,0,DMSO,1.81,4
13,1,B14,75,0,DMSO,1.81,4
14,1,B15,75,0,DMSO,1.81,4
15,1,B16,75,0,DMSO,1.81,4
16,1,B17,75,0,DMSO,1.81,4
17,1,B18,75,0,DMSO,1.81,4
18,1,B19,75,0,DMSO,1.81,4
19,1,B20,75,0,DMSO,1.81,4
20,1,B21,75,0,DMSO,1.81,4
21,1,B22,75,0,DMSO,1.81,4
22,1,B23,75,0,DMSO,1.81,4
23,1,B24,75,0,DMSO,1.81,4
24,1,B25,75,0,DMSO,1.81,4
25,1,B26,75,0,DMSO,1.81,4
26,1,B27,75,0,DMSO,1.81,4
27,1,B28,75,0,DMSO,1.81,4
28,1,B29,75,0,DMSO,1.81,4
29,1,B30,75,0,DMSO,1.81,4
30,1,B31,75,0,DMSO,1.81,4
31,1,B32,75,0,DMSO,1.81,4
32,1,B33,75,0,DMSO,1.81,4
33,1,B34,75,0,DMSO,1.81,4
34,1,B35,75,0,DMSO,1.81,4
35,1,B36,75,0,DMSO,1.81,4
36,1,B37,75,0,DMSO,1.81,4
37,1,B38,75,0,DMSO,1.81,4
38,1,B39,75,0,DMSO,1.81,4
39,1,B40,75,0,DMSO,1.81,4
40,1,B41,75,0,DMSO,1.81,4
41,1,B42,75,0,DMSO,1.81,4
42,1,B43,75,0,DMSO,1.81,4
43,1,B44,75,0,DMSO,1.81,4
44,1,B45,75,0,DMSO,1.81,4
45,1,B46,75,0,DMSO,1.81,4
46,1,B47,75,0,DMSO,1.81,4
47,1,B48,75,0,DMSO,1.81,4
0,2,C1,75,0,DMSO,1.81,4
1,2,C2,75,0,DMSO,1.81,4
2,2,C3,75,0,DMSO,1.81,4
3,2,C4,75,0,DMSO,1.81,4
4,2,C5,75,0,DMSO,1.81,4
5,2,C6,75,0,DMSO,1.81,4
6,2,C7,75,0,DMSO,1.81,4
7,2,C8,75,0,DMSO,1.81,4
8,2,C9,75,0,DMSO,1.81,4
9,2,C10,75,0,DMSO,1.81,4
10,2,C11,75,0,DMSO,1.81,4
11,2,C12,75,0,DMSO,1.81,4
12,2,C13,75,0,DMSO,1.81,4
13,2,C14,75,0,DMSO,1.81,4
14,2,C15,75,0,DMSO,1.81,4
15,2,C16,75,0,DMSO,1.81,4
16,2,C17,75,0,DMSO,1.81,4
17,2,C18,75,0,DMSO,1.81,4
18,2,C19,75,0,DMSO,1.81,4
19,2,C20,75,0,DMSO,1.81,4
20,2,C21,75,0,DMSO,1.81,4
21,2,C22,75,0,DMSO,1.81,4
22,2,C23,75,0,DMSO,1.81,4
23,2,C24,75,0,DMSO,1.81,4
24,2,C25,75,0,DMSO,1.81,4
25,2,C26,75,0,DMSO,1.81,4
26,2,C27,75,0,DMSO,1.81,4
27,2,C28,75,0,DMSO,1.81,4
28,2,C29,75,0,DMSO,1.81,4
29,2,C30,75,0,DMSO,1.81,4
30,2,C31,75,0,DMSO,1.81,4
31,2,C32,75,0,DMSO,1.81,4
32,2,C33,75,0,DMSO,1.81,4
33,2,C34,75,0,DMSO,1.81,4
34,2,C35,75,0,DMSO,1.81,4
35,2,C36,75,0,DMSO,1.81,4
36,2,C37,75,0,DMSO,1.81,4
37,2,C38,75,0,DMSO,1.81,4
38,2,C39,75,0,DMSO,1.81,4
39,2,C40,75,0,DMSO,1.81,4
40,2,C41,75,0,DMSO,1.81,4
41,2,C42,75,0,DMSO,1.81,4
42,2,C43,75,0,DMSO,1.81,4
43,2,C44,75,0,DMSO,1.81,4
44,2,C45,75,0,DMSO,1.81,4
45,2,C46,75,0,DMSO,1.81,4
46,2,C47,75,0,DMSO,1.81,4
47,2,C48,75,0,DMSO,1.81,4
0,3,D1,75,0,DMSO,1.81,4
1,3,D2,75,0,DMSO,1.81,4
2,3,D3,75,0,DMSO,1.81,4
3,3,D4,75,0,DMSO,1.81,4
4,3,D5,75,0,DMSO,1.81,4
5,3,D6,75,0,DMSO,1.81,4
6,3,D7,75,0,DMSO,1.81,4
7,3,D8,75,0,DMSO,1.81,4
8,3,D9,75,0,DMSO,1.81,4
9,3,D10,75,0,DMSO,1.81,4
10,3,D11,75,0,DMSO,1.81,4
11,3,D12,75,0,DMSO,1.81,4
12,3,D13,75,0,DMSO,1.81,4
13,3,D14,75,0,DMSO,1.81,4
14,3,D15,75,0,DMSO,1.81,4
15,3,D16,75,0,DMSO,1.81,4
16,3,D17,75,0,DMSO,1.81,4
17,3,D18,75,0,DMSO,1.81,4
18,3,D19,75,0,DMSO,1.81,4
19,3,D20,75,0,DMSO,1.81,4
20,3,D21,75,0,DMSO,1.81,4
21,3,D22,75,0,DMSO,1.81,4
22,3,D23,75,0,DMSO,1.81,4
23,3,D24,75,0,DMSO,1.81,4
24,3,D25,75,0,DMSO,1.81,4
25,3,D26,75,0,DMSO,1.81,4
26,3,D27,75,0,DMSO,1.81,4
27,3,D28,75,0,DMSO,1.81,4
28,3,D29,75,0,DMSO,1.81,4
29,3,D30,75,0,DMSO,1.81,4
30,3,D31,75,0,DMSO,1.81,4
31,3,D32,75,0,DMSO,1.81,4
32,3,D33,75,0,DMSO,1.81,4
33,3,D34,75,0,DMSO,1.81,4
34,3,D35,75,0,DMSO,1.81,4
35,3,D36,75,0,DMSO,1.81,4
36,3,D37,75,0,DMSO,1.81,4
37,3,D38,75,0,DMSO,1.81,4
38,3,D39,75,0,DMSO,1.81,4
39,3,D40,75,0,DMSO,1.81,4
40,3,D41,75,0,DMSO,1.81,4
41,3,D42,75,0,DMSO,1.81,4
42,3,D43,75,0,DMSO,1.81,4
43,3,D44,75,0,DMSO,1.81,4
44,3,D45,75,0,DMSO,1.81,4
45,3,D46,75,0,DMSO,1.81,4
46,3,D47,75,0,DMSO,1.81,4
47,3,D48,75,0,DMSO,1.81,4
0,4,E1,75,0,DMSO,1.81,4
1,4,E2,75,0,DMSO,1.81,4
2,4,E3,75,0,DMSO,1.81,4
3,4,E4,75,0,DMSO,1.81,4
4,4,E5,75,0,DMSO,1.81,4
5,4,E6,75,0,DMSO,1.81,4
6,4,E7,75,0,DMSO,1.81,4
7,4,E8,75,0,DMSO,1.81,4
8,4,E9,75,0,DMSO,1.81,4
