Col,Row,Well,mConc,mFillHeight,mFluid,mImpedance,mVolume
0,0,A1,10,0,GLY,1.59,14
1,0,A2,10,0,GLY,1.59,14
2,0,A3,10,0,GLY,1.59,14
3,0,A4,10,0,GLY,1.59,12
4,0,A5,10,0,GLY,1.59,12
5,0,A6,10,0,GLY,1.59,12
6,0,A7,10,0,GLY,1.59,4
7,0,A8,10,0,GLY,1.59,4
8,0,A9,10,0,GLY,1.59,4
9,0,A10,10,0,GLY,1.59,6
10,0,A11,10,0,GLY,1.59,6
11,0,A12,10,0,GLY,1.59,6
12,0,A13,10,0,GLY,1.59,8
13,0,A14,10,0,GLY,1.59,8
14,0,A15,10,0,GLY,1.59,8
15,0,A16,10,0,GLY,1.59,7
16,0,A17,10,0,GLY,1.59,7
17,0,A18,10,0,GLY,1.59,7
18,0,A19,10,0,GLY,1.59,9
19,0,A20,10,0,GLY,1.59,9
20,0,A21,10,0,GLY,1.59,9
21,0,A22,10,0,GLY,1.59,10
22,0,A23,10,0,GLY,1.59,10
23,0,A24,10,0,GLY,1.59,10
0,1,B1,10,0,GLY,1.59,14
1,1,B2,10,0,GLY,1.59,14
2,1,B3,10,0,GLY,1.59,14
3,1,B4,10,0,GLY,1.59,12
4,1,B5,10,0,GLY,1.59,12
5,1,B6,10,0,GLY,1.59,12
6,1,B7,10,0,GLY,1.59,4
7,1,B8,10,0,GLY,1.59,4
8,1,B9,10,0,GLY,1.59,4
9,1,B10,10,0,GLY,1.59,6
10,1,B11,10,0,GLY,1.59,6
11,1,B12,10,0,GLY,1.59,6
12,1,B13,10,0,GLY,1.59,8
13,1,B14,10,0,GLY,1.59,8
14,1,B15,10,0,GLY,1.59,8
15,1,B16,10,0,GLY,1.59,7
16,1,B17,10,0,GLY,1.59,7
17,1,B18,10,0,GLY,1.59,7
18,1,B19,10,0,GLY,1.59,9
19,1,B20,10,0,GLY,1.59,9
20,1,B21,10,0,GLY,1.59,9
21,1,B22,10,0,GLY,1.59,10
22,1,B23,10,0,GLY,1.59,10
23,1,B24,10,0,GLY,1.59,10
0,2,C1,10,0,GLY,1.59,14
1,2,C2,10,0,GLY,1.59,14
