Col,Row,Well,mConc,mFillHeight,mFluid,mImpedance,mVolume
0,0,A1,0,0,GLY,1.48,14
1,0,A2,0,0,GLY,1.48,14
2,0,A3,0,0,GLY,1.48,14
3,0,A4,0,0,GLY,1.48,12
4,0,A5,0,0,GLY,1.48,12
5,0,A6,0,0,GLY,1.48,12
6,0,A7,0,0,GLY,1.48,4
7,0,A8,0,0,GLY,1.48,4
8,0,A9,0,0,GLY,1.48,4
9,0,A10,0,0,GLY,1.48,6
10,0,A11,0,0,GLY,1.48,6
11,0,A12,0,0,GLY,1.48,6
12,0,A13,0,0,GLY,1.48,8
13,0,A14,0,0,GLY,1.48,8
14,0,A15,0,0,GLY,1.48,8
15,0,A16,0,0,GLY,1.48,7
16,0,A17,0,0,GLY,1.48,7
17,0,A18,0,0,GLY,1.48,7
18,0,A19,0,0,GLY,1.48,9
19,0,A20,0,0,GLY,1.48,9
20,0,A21,0,0,GLY,1.48,9
21,0,A22,0,0,GLY,1.48,10
22,0,A23,0,0,GLY,1.48,10
23,0,A24,0,0,GLY,1.48,10
0,1,B1,0,0,GLY,1.48,14
1,1,B2,0,0,GLY,1.48,14
2,1,B3,0,0,GLY,1.48,14
3,1,B4,0,0,GLY,1.48,12
4,1,B5,0,0,GLY,1.48,12
5,1,B6,0,0,GLY,1.48,12
6,1,B7,0,0,GLY,1.48,4
7,1,B8,0,0,GLY,1.48,4
8,1,B9,0,0,GLY,1.48,4
9,1,B10,0,0,GLY,1.48,6
10,1,B11,0,0,GLY,1.48,6
11,1,B12,0,0,GLY,1.48,6
12,1,B13,0,0,GLY,1.48,8
13,1,B14,0,0,GLY,1.48,8
14,1,B15,0,0,GLY,1.48,8
15,1,B16,0,0,GLY,1.48,7
16,1,B17,0,0,GLY,1.48,7
17,1,B18,0,0,GLY,1.48,7
18,1,B19,0,0,GLY,1.48,9
19,1,B20,0,0,GLY,1.48,9
20,1,B21,0,0,GLY,1.48,9
21,1,B22,0,0,GLY,1.48,10
22,1,B23,0,0,GLY,1.48,10
23,1,B24,0,0,GLY,1.48,10
0,2,C1,0,0,GLY,1.48,14
1,2,C2,0,0,GLY,1.48,14
2,2,C3,0,0,GLY,1.48,14
3,2,C4,0,0,GLY,1.48,12
4,2,C5,0,0,GLY,1.48,12
5,2,C6,0,0,GLY,1.48,12
6,2,C7,0,0,GLY,1.48,4
7,2,C8,0,0,GLY,1.48,4
8,2,C9,0,0,GLY,1.48,4
9,2,C10,0,0,GLY,1.48,6
10,2,C11,0,0,GLY,1.48,6
11,2,C12,0,0,GLY,1.48,6
12,2,C13,0,0,GLY,1.48,8
13,2,C14,0,0,GLY,1.48,8
14,2,C15,0,0,GLY,1.48,8
15,2,C16,0,0,GLY,1.48,7
16,2,C17,0,0,GLY,1.48,7
17,2,C18,0,0,GLY,1.48,7
18,2,C19,0,0,GLY,1.48,9
19,2,C20,0,0,GLY,1.48,9
20,2,C21,0,0,GLY,1.48,9
21,2,C22,0,0,GLY,1.48,10
22,2,C23,0,0,GLY,1.48,10
23,2,C24,0,0,GLY,1.48,10
0,3,D1,0,0,GLY,1.48,14
1,3,D2,0,0,GLY,1.48,14
2,3,D3,0,0,GLY,1.48,14
3,3,D4,0,0,GLY,1.48,12
4,3,D5,0,0,GLY,1.48,12
5,3,D6,0,0,GLY,1.48,12
6,3,D7,0,0,GLY,1.48,4
7,3,D8,0,0,GLY,1.48,4
8,3,D9,0,0,GLY,1.48,4
9,3,D10,0,0,GLY,1.48,6
10,3,D11,0,0,GLY,1.48,6
11,3,D12,0,0,GLY,1.48,6
12,3,D13,0,0,GLY,1.48,8
13,3,D14,0,0,GLY,1.48,8
14,3,D15,0,0,GLY,1.48,8
15,3,D16,0,0,GLY,1.48,7
16,3,D17,0,0,GLY,1.48,7
17,3,D18,0,0,GLY,1.48,7
18,3,D19,0,0,GLY,1.48,9
19,3,D20,0,0,GLY,1.48,9
20,3,D21,0,0,GLY,1.48,9
21,3,D22,0,0,GLY,1.48,10
22,3,D23,0,0,GLY,1.48,10
23,3,D24,0,0,GLY,1.48,10
0,4,E1,20,0,GLY,1.71,14
1,4,E2,20,0,GLY,1.71,14
2,4,E3,20,0,GLY,1.71,14
3,4,E4,20,0,GLY,1.71,12
4,4,E5,20,0,GLY,1.71,12
5,4,E6,20,0,GLY,1.71,12
6,4,E7,20,0,GLY,1.71,4
7,4,E8,20,0,GLY,1.71,4
8,4,E9,20,0,GLY,1.71,4
9,4,E10,20,0,GLY,1.71,6
10,4,E11,20,0,GLY,1.71,6
11,4,E12,20,0,GLY,1.71,6
12,4,E13,20,0,GLY,1.71,8
13,4,E14,20,0,GLY,1.71,8
14,4,E15,20,0,GLY,1.71,8
15,4,E16,20,0,GLY,1.71,7
16,4,E17,20,0,GLY,1.71,7
17,4,E18,20,0,GLY,1.71,7
18,4,E19,20,0,GLY,1.71,9
19,4,E20,20,0,GLY,1.71,9
20,4,E21,20,0,GLY,1.71,9
21,4,E22,20,0,GLY,1.71,10
22,4,E23,20,0,GLY,1.71,10
23,4,E24,20,0,GLY,1.71,10
0,5,F1,20,0,GLY,1.71,14
1,5,F2,20,0,GLY,1.71,14
2,5,F3,20,0,GLY,1.71,14
3,5,F4,20,0,GLY,1.71,12
4,5,F5,20,0,GLY,1.71,12
5,5,F6,20,0,GLY,1.71,12
6,5,F7,20,0,GLY,1.71,4
7,5,F8,20,0,GLY,1.71,4
8,5,F9,20,0,GLY,1.71,4
9,5,F10,20,0,GLY,1.71,6
10,5,F11,20,0,GLY,1.71,6
11,5,F12,20,0,GLY,1.71,6
12,5,F13,20,0,GLY,1.71,8
13,5,F14,20,0,GLY,1.71,8
14,5,F15,20,0,GLY,1.71,8
15,5,F16,20,0,GLY,1.71,7
16,5,F17,20,0,GLY,1.71,7
17,5,F18,20,0,GLY,1.71,7
18,5,F19,20,0,GLY,1.71,9
19,5,F20,20,0,GLY,1.71,9
20,5,F21,20,0,GLY,1.71,9
21,5,F22,20,0,GLY,1.71,10
22,5,F23,20,0,GLY,1.71,10
23,5,F24,20,0,GLY,1.71,10
0,6,G1,20,0,GLY,1.71,14
1,6,G2,20,0,GLY,1.71,14
2,6,G3,20,0,GLY,1.71,14
3,6,G4,20,0,GLY,1.71,12
4,6,G5,20,0,GLY,1.71,12
5,6,G6,20,0,GLY,1.71,12
6,6,G7,20,0,GLY,1.71,4
7,6,G8,20,0,GLY,1.71,4
8,6,G9,20,0,GLY,1.71,4
9,6,G10,20,0,GLY,1.71,6
10,6,G11,20,0,GLY,1.71,6
11,6,G12,20,0,GLY,1.71,6
12,6,G13,20,0,GLY,1.71,8
13,6,G14,20,0,GLY,1.71,8
14,6,G15,20,0,GLY,1.71,8
15,6,G16,20,0,GLY,1.71,7
16,6,G17,20,0,GLY,1.71,7
17,6,G18,20,0,GLY,1.71,7
18,6,G19,20,0,GLY,1.71,9
19,6,G20,20,0,GLY,1.71,9
20,6,G21,20,0,GLY,1.71,9
21,6,G22,20,0,GLY,1.71,10
22,6,G23,20,0,GLY,1.71,10
23,6,G24,20,0,GLY,1.71,10
0,7,H1,20,0,GLY,1.71,14
1,7,H2,20,0,GLY,1.71,14
2,7,H3,20,0,GLY,1.71,14
3,7,H4,20,0,GLY,1.71,12
4,7,H5,20,0,GLY,1.71,12
5,7,H6,20,0,GLY,1.71,12
6,7,H7,20,0,GLY,1.71,4
7,7,H8,20,0,GLY,1.71,4
8,7,H9,20,0,GLY,1.71,4
9,7,H10,20,0,GLY,1.71,6
10,7,H11,20,0,GLY,1.71,6
11,7,H12,20,0,GLY,1.71,6
12,7,H13,20,0,GLY,1.71,8
13,7,H14,20,0,GLY,1.71,8
14,7,H15,20,0,GLY,1.71,8
15,7,H16,20,0,GLY,1.71,7
16,7,H17,20,0,GLY,1.71,7
17,7,H18,20,0,GLY,1.71,7
18,7,H19,20,0,GLY,1.71,9
19,7,H20,20,0,GLY,1.71,9
20,7,H21,20,0,GLY,1.71,9
21,7,H22,20,0,GLY,1.71,10
22,7,H23,20,0,GLY,1.71,10
23,7,H24,20,0,GLY,1.71,10
0,8,I1,40,0,GLY,1.93,14
1,8,I2,40,0,GLY,1.93,14
2,8,I3,40,0,GLY,1.93,14
3,8,I4,40,0,GLY,1.93,12
4,8,I5,40,0,GLY,1.93,12
5,8,I6,40,0,GLY,1.93,12
6,8,I7,40,0,GLY,1.93,4
7,8,I8,40,0,GLY,1.93,4
8,8,I9,40,0,GLY,1.93,4
9,8,I10,40,0,GLY,1.93,6
10,8,I11,40,0,GLY,1.93,6
11,8,I12,40,0,GLY,1.93,6
12,8,I13,40,0,GLY,1.93,8
13,8,I14,40,0,GLY,1.93,8
14,8,I15,40,0,GLY,1.93,8
15,8,I16,40,0,GLY,1.93,7
16,8,I17,40,0,GLY,1.93,7
17,8,I18,40,0,GLY,1.93,7
18,8,I19,40,0,GLY,1.93,9
19,8,I20,40,0,GLY,1.93,9
20,8,I21,40,0,GLY,1.93,9
21,8,I22,40,0,GLY,1.93,10
22,8,I23,40,0,GLY,1.93,10
23,8,I24,40,0,GLY,1.93,10
0,9,J1,40,0,GLY,1.93,14
1,9,J2,40,0,GLY,1.93,14
2,9,J3,40,0,GLY,1.93,14
3,9,J4,40,0,GLY,1.93,12
4,9,J5,40,0,GLY,1.93,12
5,9,J6,40,0,GLY,1.93,12
6,9,J7,40,0,GLY,1.93,4
7,9,J8,40,0,GLY,1.93,4
8,9,J9,40,0,GLY,1.93,4
9,9,J10,40,0,GLY,1.93,6
10,9,J11,40,0,GLY,1.93,6
11,9,J12,40,0,GLY,1.93,6
12,9,J13,40,0,GLY,1.93,8
13,9,J14,40,0,GLY,1.93,8
14,9,J15,40,0,GLY,1.93,8
15,9,J16,40,0,GLY,1.93,7
16,9,J17,40,0,GLY,1.93,7
17,9,J18,40,0,GLY,1.93,7
18,9,J19,40,0,GLY,1.93,9
19,9,J20,40,0,GLY,1.93,9
20,9,J21,40,0,GLY,1.93,9
21,9,J22,40,0,GLY,1.93,10
22,9,J23,40,0,GLY,1.93,10
23,9,J24,40,0,GLY,1.93,10
0,10,K1,40,0,GLY,1.93,14
1,10,K2,40,0,GLY,1.93,14
2,10,K3,40,0,GLY,1.93,14
3,10,K4,40,0,GLY,1.93,12
4,10,K5,40,0,GLY,1.93,12
5,10,K6,40,0,GLY,1.93,12
6,10,K7,40,0,GLY,1.93,4
7,10,K8,40,0,GLY,1.93,4
8,10,K9,40,0,GLY,1.93,4
9,10,K10,40,0,GLY,1.93,6
10,10,K11,40,0,GLY,1.93,6
11,10,K12,40,0,GLY,1.93,6
12,10,K13,40,0,GLY,1.93,8
13,10,K14,40,0,GLY,1.93,8
14,10,K15,40,0,GLY,1.93,8
15,10,K16,40,0,GLY,1.93,7
16,10,K17,40,0,GLY,1.93,7
17,10,K18,40,0,GLY,1.93,7
18,10,K19,40,0,GLY,1.93,9
19,10,K20,40,0,GLY,1.93,9
20,10,K21,40,0,GLY,1.93,9
21,10,K22,40,0,GLY,1.93,10
22,10,K23,40,0,GLY,1.93,10
23,10,K24,40,0,GLY,1.93,10
0,11,L1,40,0,GLY,1.93,14
1,11,L2,40,0,GLY,1.93,14
2,11,L3,40,0,GLY,1.93,14
3,11,L4,40,0,GLY,1.93,12
4,11,L5,40,0,GLY,1.93,12
5,11,L6,40,0,GLY,1.93,12
6,11,L7,40,0,GLY,1.93,4
7,11,L8,40,0,GLY,1.93,4
8,11,L9,40,0,GLY,1.93,4
9,11,L10,40,0,GLY,1.93,6
10,11,L11,40,0,GLY,1.93,6
11,11,L12,40,0,GLY,1.93,6
12,11,L13,40,0,GLY,1.93,8
13,11,L14,40,0,GLY,1.93,8
14,11,L15,40,0,GLY,1.93,8
15,11,L16,40,0,GLY,1.93,7
16,11,L17,40,0,GLY,1.93,7
17,11,L18,40,0,GLY,1.93,7
18,11,L19,40,0,GLY,1.93,9
19,11,L20,40,0,GLY,1.93,9
20,11,L21,40,0,GLY,1.93,9
21,11,L22,40,0,GLY,1.93,10
22,11,L23,40,0,GLY,1.93,10
23,11,L24,40,0,GLY,1.93,10
0,12,M1,50,0,GLY,2.02,14
1,12,M2,50,0,GLY,2.02,14
2,12,M3,50,0,GLY,2.02,14
3,12,M4,50,0,GLY,2.02,12
4,12,M5,50,0,GLY,2.02,12
5,12,M6,50,0,GLY,2.02,12
6,12,M7,50,0,GLY,2.02,4
7,12,M8,50,0,GLY,2.02,4
8,12,M9,50,0,GLY,2.02,4
9,12,M10,50,0,GLY,2.02,6
10,12,M11,50,0,GLY,2.02,6
11,12,M12,50,0,GLY,2.02,6
12,12,M13,50,0,GLY,2.02,8
13,12,M14,50,0,GLY,2.02,8
14,12,M15,50,0,GLY,2.02,8
15,12,M16,50,0,GLY,2.02,7
16,12,M17,50,0,GLY,2.02,7
17,12,M18,50,0,GLY,2.02,7
18,12,M19,50,0,GLY,2.02,9
19,12,M20,50,0,GLY,2.02,9
20,12,M21,50,0,GLY,2.02,9
21,12,M22,50,0,GLY,2.02,10
22,12,M23,50,0,GLY,2.02,10
23,12,M24,50,0,GLY,2.02,10
0,13,N1,50,0,GLY,2.02,14
1,13,N2,50,0,GLY,2.02,14
2,13,N3,50,0,GLY,2.02,14
3,13,N4,50,0,GLY,2.02,12
4,13,N5,50,0,GLY,2.02,12
5,13,N6,50,0,GLY,2.02,12
6,13,N7,50,0,GLY,2.02,4
7,13,N8,50,0,GLY,2.02,4
8,13,N9,50,0,GLY,2.02,4
9,13,N10,50,0,GLY,2.02,6
10,13,N11,50,0,GLY,2.02,6
11,13,N12,50,0,GLY,2.02,6
12,13,N13,50,0,GLY,2.02,8
13,13,N14,50,0,GLY,2.02,8
14,13,N15,50,0,GLY,2.02,8
15,13,N16,50,0,GLY,2.02,7
16,13,N17,50,0,GLY,2.02,7
17,13,N18,50,0,GLY,2.02,7
18,13,N19,50,0,GLY,2.02,9
19,13,N20,50,0,GLY,2.02,9
20,13,N21,50,0,GLY,2.02,9
21,13,N22,50,0,GLY,2.02,10
22,13,N23,50,0,GLY,2.02,10
23,13,N24,50,0,GLY,2.02,10
0,14,O1,50,0,GLY,2.02,14
1,14,O2,50,0,GLY,2.02,14
2,14,O3,50,0,GLY,2.02,14
3,14,O4,50,0,GLY,2.02,12
4,14,O5,50,0,GLY,2.02,12
5,14,O6,50,0,GLY,2.02,12
6,14,O7,50,0,GLY,2.02,4
7,14,O8,50,0,GLY,2.02,4
8,14,O9,50,0,GLY,2.02,4
9,14,O10,50,0,GLY,2.02,6
10,14,O11,50,0,GLY,2.02,6
11,14,O12,50,0,GLY,2.02,6
12,14,O13,50,0,GLY,2.02,8
13,14,O14,50,0,GLY,2.02,8
14,14,O15,50,0,GLY,2.02,8
15,14,O16,50,0,GLY,2.02,7
16,14,O17,50,0,GLY,2.02,7
17,14,O18,50,0,GLY,2.02,7
18,14,O19,50,0,GLY,2.02,9
19,14,O20,50,0,GLY,2.02,9
20,14,O21,50,0,GLY,2.02,9
21,14,O22,50,0,GLY,2.02,10
22,14,O23,50,0,GLY,2.02,10
23,14,O24,50,0,GLY,2.02,10
0,15,P1,50,0,GLY,2.02,14
1,15,P2,50,0,GLY,2.02,14
2,15,P3,50,0,GLY,2.02,14
3,15,P4,50,0,GLY,2.02,12
4,15,P5,50,0,GLY,2.02,12
5,15,P6,50,0,GLY,2.02,12
6,15,P7,50,0,GLY,2.02,4
7,15,P8,50,0,GLY,2.02,4
8,15,P9,50,0,GLY,2.02,4
9,15,P10,50,0,GLY,2.02,6
10,15,P11,50,0,GLY,2.02,6
11,15,P12,50,0,GLY,2.02,6
12,15,P13,50,0,GLY,2.02,8
13,15,P14,50,0,GLY,2.02,8
14,15,P15,50,0,GLY,2.02,8
15,15,P16,50,0,GLY,2.02,7
16,15,P17,50,0,GLY,2.02,7
17,15,P18,50,0,GLY,2.02,7
18,15,P19,50,0,GLY,2.02,9
19,15,P20,50,0,GLY,2.02,9
20,15,P21,50,0,GLY,2.02,9
21,15,P22,50,0,GLY,2.02,10
