Col,Row,Well,mConc,mFillHeight,mFluid,mImpedance,mVolume
0,0,A1,0,0,GLY,1.48,68
1,0,A2,0,0,GLY,1.48,40
2,0,A3,0,0,GLY,1.48,55
3,0,A4,0,0,GLY,1.48,13
4,0,A5,0,0,GLY,1.48,25
5,0,A6,0,0,GLY,1.48,15
6,0,A7,0,0,GLY,1.48,50
7,0,A8,0,0,GLY,1.48,65
8,0,A9,0,0,GLY,1.48,45
9,0,A10,0,0,GLY,1.48,60
10,0,A11,0,0,GLY,1.48,20
11,0,A12,0,0,GLY,1.48,30
12,0,A13,0,0,GLY,1.48,68
13,0,A14,0,0,GLY,1.48,40
14,0,A15,0,0,GLY,1.48,55
15,0,A16,0,0,GLY,1.48,13
16,0,A17,0,0,GLY,1.48,25
17,0,A18,0,0,GLY,1.48,15
18,0,A19,0,0,GLY,1.48,50
19,0,A20,0,0,GLY,1.48,65
20,0,A21,0,0,GLY,1.48,45
21,0,A22,0,0,GLY,1.48,60
22,0,A23,0,0,GLY,1.48,20
23,0,A24,0,0,GLY,1.48,30
0,1,B1,10,0,GLY,1.59,68
1,1,B2,10,0,GLY,1.59,40
2,1,B3,10,0,GLY,1.59,55
3,1,B4,10,0,GLY,1.59,13
4,1,B5,10,0,GLY,1.59,25
5,1,B6,10,0,GLY,1.59,15
6,1,B7,10,0,GLY,1.59,50
7,1,B8,10,0,GLY,1.59,65
8,1,B9,10,0,GLY,1.59,45
9,1,B10,10,0,GLY,1.59,60
10,1,B11,10,0,GLY,1.59,20
11,1,B12,10,0,GLY,1.59,30
12,1,B13,10,0,GLY,1.59,68
13,1,B14,10,0,GLY,1.59,40
14,1,B15,10,0,GLY,1.59,55
15,1,B16,10,0,GLY,1.59,13
16,1,B17,10,0,GLY,1.59,25
17,1,B18,10,0,GLY,1.59,15
18,1,B19,10,0,GLY,1.59,50
19,1,B20,10,0,GLY,1.59,65
20,1,B21,10,0,GLY,1.59,45
21,1,B22,10,0,GLY,1.59,60
22,1,B23,10,0,GLY,1.59,20
23,1,B24,10,0,GLY,1.59,30
0,2,C1,20,0,GLY,1.71,68
1,2,C2,20,0,GLY,1.71,40
2,2,C3,20,0,GLY,1.71,55
3,2,C4,20,0,GLY,1.71,13
4,2,C5,20,0,GLY,1.71,25
5,2,C6,20,0,GLY,1.71,15
6,2,C7,20,0,GLY,1.71,50
7,2,C8,20,0,GLY,1.71,65
8,2,C9,20,0,GLY,1.71,45
9,2,C10,20,0,GLY,1.71,60
10,2,C11,20,0,GLY,1.71,20
11,2,C12,20,0,GLY,1.71,30
12,2,C13,20,0,GLY,1.71,68
13,2,C14,20,0,GLY,1.71,40
14,2,C15,20,0,GLY,1.71,55
15,2,C16,20,0,GLY,1.71,13
16,2,C17,20,0,GLY,1.71,25
17,2,C18,20,0,GLY,1.71,15
18,2,C19,20,0,GLY,1.71,50
19,2,C20,20,0,GLY,1.71,65
20,2,C21,20,0,GLY,1.71,45
21,2,C22,20,0,GLY,1.71,60
22,2,C23,20,0,GLY,1.71,20
23,2,C24,20,0,GLY,1.71,30
0,3,D1,30,0,GLY,1.82,68
1,3,D2,30,0,GLY,1.82,40
2,3,D3,30,0,GLY,1.82,55
3,3,D4,30,0,GLY,1.82,13
4,3,D5,30,0,GLY,1.82,25
5,3,D6,30,0,GLY,1.82,15
6,3,D7,30,0,GLY,1.82,50
7,3,D8,30,0,GLY,1.82,65
8,3,D9,30,0,GLY,1.82,45
9,3,D10,30,0,GLY,1.82,60
10,3,D11,30,0,GLY,1.82,20
11,3,D12,30,0,GLY,1.82,30
12,3,D13,30,0,GLY,1.82,68
13,3,D14,30,0,GLY,1.82,40
14,3,D15,30,0,GLY,1.82,55
15,3,D16,30,0,GLY,1.82,13
16,3,D17,30,0,GLY,1.82,25
17,3,D18,30,0,GLY,1.82,15
18,3,D19,30,0,GLY,1.82,50
19,3,D20,30,0,GLY,1.82,65
20,3,D21,30,0,GLY,1.82,45
21,3,D22,30,0,GLY,1.82,60
22,3,D23,30,0,GLY,1.82,20
23,3,D24,30,0,GLY,1.82,30
0,4,E1,40,0,GLY,1.93,68
1,4,E2,40,0,GLY,1.93,40
2,4,E3,40,0,GLY,1.93,55
3,4,E4,40,0,GLY,1.93,13
4,4,E5,40,0,GLY,1.93,25
5,4,E6,40,0,GLY,1.93,15
6,4,E7,40,0,GLY,1.93,50
7,4,E8,40,0,GLY,1.93,65
8,4,E9,40,0,GLY,1.93,45
9,4,E10,40,0,GLY,1.93,60
10,4,E11,40,0,GLY,1.93,20
11,4,E12,40,0,GLY,1.93,30
12,4,E13,40,0,GLY,1.93,68
13,4,E14,40,0,GLY,1.93,40
14,4,E15,40,0,GLY,1.93,55
15,4,E16,40,0,GLY,1.93,13
16,4,E17,40,0,GLY,1.93,25
17,4,E18,40,0,GLY,1.93,15
18,4,E19,40,0,GLY,1.93,50
19,4,E20,40,0,GLY,1.93,65
20,4,E21,40,0,GLY,1.93,45
21,4,E22,40,0,GLY,1.93,60
22,4,E23,40,0,GLY,1.93,20
23,4,E24,40,0,GLY,1.93,30
0,5,F1,45,0,GLY,1.96,68
1,5,F2,45,0,GLY,1.96,40
2,5,F3,45,0,GLY,1.96,55
3,5,F4,45,0,GLY,1.96,13
4,5,F5,45,0,GLY,1.96,25
5,5,F6,45,0,GLY,1.96,15
6,5,F7,45,0,GLY,1.96,50
7,5,F8,45,0,GLY,1.96,65
8,5,F9,45,0,GLY,1.96,45
9,5,F10,45,0,GLY,1.96,60
10,5,F11,45,0,GLY,1.96,20
11,5,F12,45,0,GLY,1.96,30
12,5,F13,45,0,GLY,1.96,68
13,5,F14,45,0,GLY,1.96,40
14,5,F15,45,0,GLY,1.96,55
15,5,F16,45,0,GLY,1.96,13
16,5,F17,45,0,GLY,1.96,25
17,5,F18,45,0,GLY,1.96,15
18,5,F19,45,0,GLY,1.96,50
19,5,F20,45,0,GLY,1.96,65
20,5,F21,45,0,GLY,1.96,45
21,5,F22,45,0,GLY,1.96,60
22,5,F23,45,0,GLY,1.96,20
23,5,F24,45,0,GLY,1.96,30
0,6,G1,50,0,GLY,2.02,68
1,6,G2,50,0,GLY,2.02,40
2,6,G3,50,0,GLY,2.02,55
3,6,G4,50,0,GLY,2.02,13
4,6,G5,50,0,GLY,2.02,25
5,6,G6,50,0,GLY,2.02,15
6,6,G7,50,0,GLY,2.02,50
7,6,G8,50,0,GLY,2.02,65
8,6,G9,50,0,GLY,2.02,45
9,6,G10,50,0,GLY,2.02,60
10,6,G11,50,0,GLY,2.02,20
11,6,G12,50,0,GLY,2.02,30
12,6,G13,50,0,GLY,2.02,68
13,6,G14,50,0,GLY,2.02,40
14,6,G15,50,0,GLY,2.02,55
15,6,G16,50,0,GLY,2.02,13
16,6,G17,50,0,GLY,2.02,25
17,6,G18,50,0,GLY,2.02,15
18,6,G19,50,0,GLY,2.02,50
19,6,G20,50,0,GLY,2.02,65
20,6,G21,50,0,GLY,2.02,45
21,6,G22,50,0,GLY,2.02,60
22,6,G23,50,0,GLY,2.02,20
23,6,G24,50,0,GLY,2.02,30
0,7,H1,55,0,GLY,2.06,68
1,7,H2,55,0,GLY,2.06,40
2,7,H3,55,0,GLY,2.06,55
3,7,H4,55,0,GLY,2.06,13
4,7,H5,55,0,GLY,2.06,25
5,7,H6,55,0,GLY,2.06,15
6,7,H7,55,0,GLY,2.06,50
7,7,H8,55,0,GLY,2.06,65
8,7,H9,55,0,GLY,2.06,45
9,7,H10,55,0,GLY,2.06,60
10,7,H11,55,0,GLY,2.06,20
11,7,H12,55,0,GLY,2.06,30
12,7,H13,55,0,GLY,2.06,68
13,7,H14,55,0,GLY,2.06,40
14,7,H15,55,0,GLY,2.06,55
15,7,H16,55,0,GLY,2.06,13
16,7,H17,55,0,GLY,2.06,25
17,7,H18,55,0,GLY,2.06,15
18,7,H19,55,0,GLY,2.06,50
19,7,H20,55,0,GLY,2.06,65
20,7,H21,55,0,GLY,2.06,45
21,7,H22,55,0,GLY,2.06,60
22,7,H23,55,0,GLY,2.06,20
23,7,H24,55,0,GLY,2.06,30
0,8,I1,0,0,GLY,1.48,68
1,8,I2,0,0,GLY,1.48,40
2,8,I3,0,0,GLY,1.48,55
3,8,I4,0,0,GLY,1.48,13
4,8,I5,0,0,GLY,1.48,25
5,8,I6,0,0,GLY,1.48,15
6,8,I7,0,0,GLY,1.48,50
7,8,I8,0,0,GLY,1.48,65
8,8,I9,0,0,GLY,1.48,45
9,8,I10,0,0,GLY,1.48,60
10,8,I11,0,0,GLY,1.48,20
11,8,I12,0,0,GLY,1.48,30
12,8,I13,0,0,GLY,1.48,68
13,8,I14,0,0,GLY,1.48,40
14,8,I15,0,0,GLY,1.48,55
15,8,I16,0,0,GLY,1.48,13
16,8,I17,0,0,GLY,1.48,25
17,8,I18,0,0,GLY,1.48,15
18,8,I19,0,0,GLY,1.48,50
19,8,I20,0,0,GLY,1.48,65
20,8,I21,0,0,GLY,1.48,45
21,8,I22,0,0,GLY,1.48,60
22,8,I23,0,0,GLY,1.48,20
23,8,I24,0,0,GLY,1.48,30
0,9,J1,10,0,GLY,1.59,68
1,9,J2,10,0,GLY,1.59,40
2,9,J3,10,0,GLY,1.59,55
3,9,J4,10,0,GLY,1.59,13
4,9,J5,10,0,GLY,1.59,25
5,9,J6,10,0,GLY,1.59,15
6,9,J7,10,0,GLY,1.59,50
7,9,J8,10,0,GLY,1.59,65
8,9,J9,10,0,GLY,1.59,45
9,9,J10,10,0,GLY,1.59,60
10,9,J11,10,0,GLY,1.59,20
11,9,J12,10,0,GLY,1.59,30
12,9,J13,10,0,GLY,1.59,68
13,9,J14,10,0,GLY,1.59,40
14,9,J15,10,0,GLY,1.59,55
15,9,J16,10,0,GLY,1.59,13
16,9,J17,10,0,GLY,1.59,25
17,9,J18,10,0,GLY,1.59,15
18,9,J19,10,0,GLY,1.59,50
19,9,J20,10,0,GLY,1.59,65
20,9,J21,10,0,GLY,1.59,45
21,9,J22,10,0,GLY,1.59,60
22,9,J23,10,0,GLY,1.59,20
23,9,J24,10,0,GLY,1.59,30
0,10,K1,20,0,GLY,1.71,68
1,10,K2,20,0,GLY,1.71,40
2,10,K3,20,0,GLY,1.71,55
3,10,K4,20,0,GLY,1.71,13
4,10,K5,20,0,GLY,1.71,25
5,10,K6,20,0,GLY,1.71,15
6,10,K7,20,0,GLY,1.71,50
7,10,K8,20,0,GLY,1.71,65
8,10,K9,20,0,GLY,1.71,45
9,10,K10,20,0,GLY,1.71,60
10,10,K11,20,0,GLY,1.71,20
11,10,K12,20,0,GLY,1.71,30
12,10,K13,20,0,GLY,1.71,68
13,10,K14,20,0,GLY,1.71,40
14,10,K15,20,0,GLY,1.71,55
15,10,K16,20,0,GLY,1.71,13
16,10,K17,20,0,GLY,1.71,25
17,10,K18,20,0,GLY,1.71,15
18,10,K19,20,0,GLY,1.71,50
19,10,K20,20,0,GLY,1.71,65
20,10,K21,20,0,GLY,1.71,45
21,10,K22,20,0,GLY,1.71,60
22,10,K23,20,0,GLY,1.71,20
23,10,K24,20,0,GLY,1.71,30
0,11,L1,30,0,GLY,1.82,68
1,11,L2,30,0,GLY,1.82,40
2,11,L3,30,0,GLY,1.82,55
3,11,L4,30,0,GLY,1.82,13
4,11,L5,30,0,GLY,1.82,25
5,11,L6,30,0,GLY,1.82,15
6,11,L7,30,0,GLY,1.82,50
7,11,L8,30,0,GLY,1.82,65
8,11,L9,30,0,GLY,1.82,45
9,11,L10,30,0,GLY,1.82,60
10,11,L11,30,0,GLY,1.82,20
11,11,L12,30,0,GLY,1.82,30
12,11,L13,30,0,GLY,1.82,68
13,11,L14,30,0,GLY,1.82,40
14,11,L15,30,0,GLY,1.82,55
15,11,L16,30,0,GLY,1.82,13
16,11,L17,30,0,GLY,1.82,25
17,11,L18,30,0,GLY,1.82,15
18,11,L19,30,0,GLY,1.82,50
19,11,L20,30,0,GLY,1.82,65
20,11,L21,30,0,GLY,1.82,45
21,11,L22,30,0,GLY,1.82,60
22,11,L23,30,0,GLY,1.82,20
23,11,L24,30,0,GLY,1.82,30
0,12,M1,40,0,GLY,1.93,68
1,12,M2,40,0,GLY,1.93,40
2,12,M3,40,0,GLY,1.93,55
3,12,M4,40,0,GLY,1.93,13
4,12,M5,40,0,GLY,1.93,25
5,12,M6,40,0,GLY,1.93,15
6,12,M7,40,0,GLY,1.93,50
7,12,M8,40,0,GLY,1.93,65
8,12,M9,40,0,GLY,1.93,45
9,12,M10,40,0,GLY,1.93,60
10,12,M11,40,0,GLY,1.93,20
11,12,M12,40,0,GLY,1.93,30
12,12,M13,40,0,GLY,1.93,68
13,12,M14,40,0,GLY,1.93,40
14,12,M15,40,0,GLY,1.93,55
15,12,M16,40,0,GLY,1.93,13
16,12,M17,40,0,GLY,1.93,25
17,12,M18,40,0,GLY,1.93,15
18,12,M19,40,0,GLY,1.93,50
19,12,M20,40,0,GLY,1.93,65
20,12,M21,40,0,GLY,1.93,45
21,12,M22,40,0,GLY,1.93,60
22,12,M23,40,0,GLY,1.93,20
23,12,M24,40,0,GLY,1.93,30
0,13,N1,45,0,GLY,1.96,68
1,13,N2,45,0,GLY,1.96,40
2,13,N3,45,0,GLY,1.96,55
3,13,N4,45,0,GLY,1.96,13
4,13,N5,45,0,GLY,1.96,25
5,13,N6,45,0,GLY,1.96,15
6,13,N7,45,0,GLY,1.96,50
7,13,N8,45,0,GLY,1.96,65
8,13,N9,45,0,GLY,1.96,45
9,13,N10,45,0,GLY,1.96,60
10,13,N11,45,0,GLY,1.96,20
11,13,N12,45,0,GLY,1.96,30
12,13,N13,45,0,GLY,1.96,68
13,13,N14,45,0,GLY,1.96,40
14,13,N15,45,0,GLY,1.96,55
15,13,N16,45,0,GLY,1.96,13
16,13,N17,45,0,GLY,1.96,25
17,13,N18,45,0,GLY,1.96,15
18,13,N19,45,0,GLY,1.96,50
19,13,N20,45,0,GLY,1.96,65
20,13,N21,45,0,GLY,1.96,45
21,13,N22,45,0,GLY,1.96,60
22,13,N23,45,0,GLY,1.96,20
23,13,N24,45,0,GLY,1.96,30
0,14,O1,50,0,GLY,2.02,68
1,14,O2,50,0,GLY,2.02,40
2,14,O3,50,0,GLY,2.02,55
3,14,O4,50,0,GLY,2.02,13
4,14,O5,50,0,GLY,2.02,25
5,14,O6,50,0,GLY,2.02,15
6,14,O7,50,0,GLY,2.02,50
7,14,O8,50,0,GLY,2.02,65
8,14,O9,50,0,GLY,2.02,45
9,14,O10,50,0,GLY,2.02,60
