Col,Row,Well,mConc,mFillHeight,mFluid,mImpedance,mVolume
0,0,A1,85,0,DMSO,1.75,30
1,0,A2,85,0,DMSO,1.75,30
2,0,A3,85,0,DMSO,1.75,30
3,0,A4,85,0,DMSO,1.75,30
4,0,A5,85,0,DMSO,1.75,30
5,0,A6,85,0,DMSO,1.75,30
6,0,A7,85,0,DMSO,1.75,30
7,0,A8,85,0,DMSO,1.75,30
8,0,A9,85,0,DMSO,1.75,30
9,0,A10,85,0,DMSO,1.75,30
10,0,A11,85,0,DMSO,1.75,30
11,0,A12,85,0,DMSO,1.75,30
12,0,A13,85,0,DMSO,1.75,30
13,0,A14,85,0,DMSO,1.75,30
14,0,A15,85,0,DMSO,1.75,30
15,0,A16,85,0,DMSO,1.75,30
16,0,A17,85,0,DMSO,1.75,30
17,0,A18,85,0,DMSO,1.75,30
18,0,A19,85,0,DMSO,1.75,30
19,0,A20,85,0,DMSO,1.75,30
20,0,A21,85,0,DMSO,1.75,30
21,0,A22,85,0,DMSO,1.75,30
22,0,A23,85,0,DMSO,1.75,30
23,0,A24,85,0,DMSO,1.75,30
0,1,B1,85,0,DMSO,1.75,30
1,1,B2,85,0,DMSO,1.75,30
2,1,B3,85,0,DMSO,1.75,30
3,1,B4,85,0,DMSO,1.75,30
4,1,B5,85,0,DMSO,1.75,30
5,1,B6,85,0,DMSO,1.75,30
6,1,B7,85,0,DMSO,1.75,30
7,1,B8,85,0,DMSO,1.75,30
8,1,B9,85,0,DMSO,1.75,30
9,1,B10,85,0,DMSO,1.75,30
10,1,B11,85,0,DMSO,1.75,30
11,1,B12,85,0,DMSO,1.75,30
12,1,B13,85,0,DMSO,1.75,30
13,1,B14,85,0,DMSO,1.75,30
14,1,B15,85,0,DMSO,1.75,30
15,1,B16,85,0,DMSO,1.75,30
16,1,B17,85,0,DMSO,1.75,30
17,1,B18,85,0,DMSO,1.75,30
18,1,B19,85,0,DMSO,1.75,30
19,1,B20,85,0,DMSO,1.75,30
20,1,B21,85,0,DMSO,1.75,30
21,1,B22,85,0,DMSO,1.75,30
22,1,B23,85,0,DMSO,1.75,30
23,1,B24,85,0,DMSO,1.75,30
0,2,C1,85,0,DMSO,1.75,30
1,2,C2,85,0,DMSO,1.75,30
2,2,C3,85,0,DMSO,1.75,30
3,2,C4,85,0,DMSO,1.75,30
4,2,C5,85,0,DMSO,1.75,30
5,2,C6,85,0,DMSO,1.75,30
6,2,C7,85,0,DMSO,1.75,30
7,2,C8,85,0,DMSO,1.75,30
8,2,C9,85,0,DMSO,1.75,30
9,2,C10,85,0,DMSO,1.75,30
10,2,C11,85,0,DMSO,1.75,30
11,2,C12,85,0,DMSO,1.75,30
12,2,C13,85,0,DMSO,1.75,30
13,2,C14,85,0,DMSO,1.75,30
14,2,C15,85,0,DMSO,1.75,30
15,2,C16,85,0,DMSO,1.75,30
16,2,C17,85,0,DMSO,1.75,30
17,2,C18,85,0,DMSO,1.75,30
18,2,C19,85,0,DMSO,1.75,30
19,2,C20,85,0,DMSO,1.75,30
20,2,C21,85,0,DMSO,1.75,30
21,2,C22,85,0,DMSO,1.75,30
22,2,C23,85,0,DMSO,1.75,30
23,2,C24,85,0,DMSO,1.75,30
0,3,D1,85,0,DMSO,1.75,30
1,3,D2,85,0,DMSO,1.75,30
2,3,D3,85,0,DMSO,1.75,30
3,3,D4,85,0,DMSO,1.75,30
4,3,D5,85,0,DMSO,1.75,30
5,3,D6,85,0,DMSO,1.75,30
6,3,D7,85,0,DMSO,1.75,30
7,3,D8,85,0,DMSO,1.75,30
8,3,D9,85,0,DMSO,1.75,30
9,3,D10,85,0,DMSO,1.75,30
10,3,D11,85,0,DMSO,1.75,30
11,3,D12,85,0,DMSO,1.75,30
12,3,D13,85,0,DMSO,1.75,30
13,3,D14,85,0,DMSO,1.75,30
14,3,D15,85,0,DMSO,1.75,30
15,3,D16,85,0,DMSO,1.75,30
16,3,D17,85,0,DMSO,1.75,30
17,3,D18,85,0,DMSO,1.75,30
18,3,D19,85,0,DMSO,1.75,30
19,3,D20,85,0,DMSO,1.75,30
20,3,D21,85,0,DMSO,1.75,30
21,3,D22,85,0,DMSO,1.75,30
22,3,D23,85,0,DMSO,1.75,30
23,3,D24,85,0,DMSO,1.75,30
0,4,E1,85,0,DMSO,1.75,30
1,4,E2,85,0,DMSO,1.75,30
2,4,E3,85,0,DMSO,1.75,30
