Col,Row,Well,mConc,mFillHeight,mFluid,mImpedance,mVolume
0,0,A1,0.0,0,GPS25-DF,0.0,0.0
1,0,A2,0.0,0,GPS25-DF,0.0,0.0
2,0,A3,10.0,0,GPS25-DF,1.59,60.0
3,0,A4,10.0,0,GPS25-DF,1.59,60.0
4,0,A5,10.0,0,GPS25-DF,1.59,60.0
5,0,A6,0.0,0,GPS25-DF,0.0,0.0
6,0,A7,20.0,0,GPS25-DF,1.71,60.0
7,0,A8,20.0,0,GPS25-DF,1.71,60.0
8,0,A9,20.0,0,GPS25-DF,1.71,60.0
9,0,A10,0.0,0,GPS25-DF,0.0,0.0
10,0,A11,30.0,0,GPS25-DF,1.82,60.0
11,0,A12,30.0,0,GPS25-DF,1.82,60.0
12,0,A13,30.0,0,GPS25-DF,1.82,60.0
13,0,A14,0.0,0,GPS25-DF,0.0,0.0
14,0,A15,40.0,0,GPS25-DF,1.93,60.0
15,0,A16,40.0,0,GPS25-DF,1.93,60.0
16,0,A17,40.0,0,GPS25-DF,1.93,60.0
17,0,A18,0.0,0,GPS25-DF,0.0,0.0
18,0,A19,50.0,0,GPS25-DF,2.02,60.0
19,0,A20,50.0,0,GPS25-DF,2.02,60.0
20,0,A21,50.0,0,GPS25-DF,2.02,60.0
21,0,A22,0.0,0,GPS25-DF,0.0,0.0
22,0,A23,0.0,0,GPS25-DF,0.0,0.0
23,0,A24,0.0,0,GPS25-DF,0.0,0.0
0,1,B1,0.0,0,GPS25-DF,0.0,0.0
1,1,B2,0.0,0,GPS25-DF,0.0,0.0
2,1,B3,10.0,0,GPS25-DF,1.59,60.0
3,1,B4,10.0,0,GPS25-DF,1.59,60.0
4,1,B5,10.0,0,GPS25-DF,1.59,60.0
5,1,B6,0.0,0,GPS25-DF,0.0,0.0
6,1,B7,20.0,0,GPS25-DF,1.71,60.0
7,1,B8,20.0,0,GPS25-DF,1.71,60.0
8,1,B9,20.0,0,GPS25-DF,1.71,60.0
9,1,B10,0.0,0,GPS25-DF,0.0,0.0
10,1,B11,30.0,0,GPS25-DF,1.82,60.0
11,1,B12,30.0,0,GPS25-DF,1.82,60.0
12,1,B13,30.0,0,GPS25-DF,1.82,60.0
13,1,B14,0.0,0,GPS25-DF,0.0,0.0
14,1,B15,40.0,0,GPS25-DF,1.93,60.0
15,1,B16,40.0,0,GPS25-DF,1.93,60.0
16,1,B17,40.0,0,GPS25-DF,1.93,60.0
17,1,B18,0.0,0,GPS25-DF,0.0,0.0
18,1,B19,50.0,0,GPS25-DF,2.02,60.0
19,1,B20,50.0,0,GPS25-DF,2.02,60.0
20,1,B21,50.0,0,GPS25-DF,2.02,60.0
21,1,B22,0.0,0,GPS25-DF,0.0,0.0
22,1,B23,0.0,0,GPS25-DF,0.0,0.0
23,1,B24,0.0,0,GPS25-DF,0.0,0.0
0,2,C1,0.0,0,GPS25-DF,0.0,0.0
1,2,C2,0.0,0,GPS25-DF,0.0,0.0
2,2,C3,10.0,0,GPS25-DF,1.59,60.0
3,2,C4,10.0,0,GPS25-DF,1.59,60.0
4,2,C5,10.0,0,GPS25-DF,1.59,60.0
5,2,C6,0.0,0,GPS25-DF,0.0,0.0
6,2,C7,20.0,0,GPS25-DF,1.71,60.0
7,2,C8,20.0,0,GPS25-DF,1.71,60.0
8,2,C9,20.0,0,GPS25-DF,1.71,60.0
9,2,C10,0.0,0,GPS25-DF,0.0,0.0
10,2,C11,30.0,0,GPS25-DF,1.82,60.0
11,2,C12,30.0,0,GPS25-DF,1.82,60.0
12,2,C13,30.0,0,GPS25-DF,1.82,60.0
13,2,C14,0.0,0,GPS25-DF,0.0,0.0
14,2,C15,40.0,0,GPS25-DF,1.93,60.0
15,2,C16,40.0,0,GPS25-DF,1.93,60.0
16,2,C17,40.0,0,GPS25-DF,1.93,60.0
17,2,C18,0.0,0,GPS25-DF,0.0,0.0
18,2,C19,50.0,0,GPS25-DF,2.02,60.0
19,2,C20,50.0,0,GPS25-DF,2.02,60.0
20,2,C21,50.0,0,GPS25-DF,2.02,60.0
21,2,C22,0.0,0,GPS25-DF,0.0,0.0
22,2,C23,0.0,0,GPS25-DF,0.0,0.0
23,2,C24,0.0,0,GPS25-DF,0.0,0.0
0,3,D1,0.0,0,GPS25-DF,0.0,0.0
1,3,D2,0.0,0,GPS25-DF,0.0,0.0
2,3,D3,10.0,0,GPS25-DF,1.59,60.0
3,3,D4,10.0,0,GPS25-DF,1.59,60.0
4,3,D5,10.0,0,GPS25-DF,1.59,60.0
5,3,D6,0.0,0,GPS25-DF,0.0,0.0
6,3,D7,20.0,0,GPS25-DF,1.71,60.0
7,3,D8,20.0,0,GPS25-DF,1.71,60.0
8,3,D9,20.0,0,GPS25-DF,1.71,60.0
9,3,D10,0.0,0,GPS25-DF,0.0,0.0
10,3,D11,30.0,0,GPS25-DF,1.82,60.0
11,3,D12,30.0,0,GPS25-DF,1.82,60.0
12,3,D13,30.0,0,GPS25-DF,1.82,60.0
13,3,D14,0.0,0,GPS25-DF,0.0,0.0
14,3,D15,40.0,0,GPS25-DF,1.93,60.0
15,3,D16,40.0,0,GPS25-DF,1.93,60.0
16,3,D17,40.0,0,GPS25-DF,1.93,60.0
17,3,D18,0.0,0,GPS25-DF,0.0,0.0
18,3,D19,50.0,0,GPS25-DF,2.02,60.0
19,3,D20,50.0,0,GPS25-DF,2.02,60.0
20,3,D21,50.0,0,GPS25-DF,2.02,60.0
21,3,D22,0.0,0,GPS25-DF,0.0,0.0
22,3,D23,0.0,0,GPS25-DF,0.0,0.0
23,3,D24,0.0,0,GPS25-DF,0.0,0.0
