Col,Row,Well,mConc,mFillHeight,mFluid,mImpedance,mVolume
0,0,A1,45,0,GLY,1.96,20
1,0,A2,45,0,GLY,1.96,20
2,0,A3,45,0,GLY,1.96,20
3,0,A4,45,0,GLY,1.96,20
4,0,A5,45,0,GLY,1.96,55
5,0,A6,45,0,GLY,1.96,55
6,0,A7,45,0,GLY,1.96,55
7,0,A8,45,0,GLY,1.96,55
8,0,A9,45,0,GLY,1.96,90
9,0,A10,45,0,GLY,1.96,90
10,0,A11,45,0,GLY,1.96,90
11,0,A12,45,0,GLY,1.96,90
0,1,B1,45,0,GLY,1.96,20
1,1,B2,45,0,GLY,1.96,20
2,1,B3,45,0,GLY,1.96,20
3,1,B4,45,0,GLY,1.96,20
4,1,B5,45,0,GLY,1.96,55
5,1,B6,45,0,GLY,1.96,55
6,1,B7,45,0,GLY,1.96,55
7,1,B8,45,0,GLY,1.96,55
8,1,B9,45,0,GLY,1.96,90
9,1,B10,45,0,GLY,1.96,90
10,1,B11,45,0,GLY,1.96,90
11,1,B12,45,0,GLY,1.96,90
0,2,C1,45,0,GLY,1.96,20
1,2,C2,45,0,GLY,1.96,20
2,2,C3,45,0,GLY,1.96,20
3,2,C4,45,0,GLY,1.96,20
4,2,C5,45,0,GLY,1.96,55
5,2,C6,45,0,GLY,1.96,55
6,2,C7,45,0,GLY,1.96,55
7,2,C8,45,0,GLY,1.96,55
8,2,C9,45,0,GLY,1.96,90
9,2,C10,45,0,GLY,1.96,90
10,2,C11,45,0,GLY,1.96,90
11,2,C12,45,0,GLY,1.96,90
0,3,D1,45,0,GLY,1.96,20
1,3,D2,45,0,GLY,1.96,20
2,3,D3,45,0,GLY,1.96,20
3,3,D4,45,0,GLY,1.96,20
4,3,D5,45,0,GLY,1.96,55
5,3,D6,45,0,GLY,1.96,55
6,3,D7,45,0,GLY,1.96,55
7,3,D8,45,0,GLY,1.96,55
8,3,D9,45,0,GLY,1.96,90
9,3,D10,45,0,GLY,1.96,90
10,3,D11,45,0,GLY,1.96,90
11,3,D12,45,0,GLY,1.96,90
0,4,E1,45,0,GLY,1.96,20
1,4,E2,45,0,GLY,1.96,20
2,4,E3,45,0,GLY,1.96,20
3,4,E4,45,0,GLY,1.96,20
4,4,E5,45,0,GLY,1.96,55
5,4,E6,45,0,GLY,1.96,55
6,4,E7,45,0,GLY,1.96,55
7,4,E8,45,0,GLY,1.96,55
8,4,E9,45,0,GLY,1.96,90
9,4,E10,45,0,GLY,1.96,90
10,4,E11,45,0,GLY,1.96,90
11,4,E12,45,0,GLY,1.96,90
0,5,F1,45,0,GLY,1.96,20
1,5,F2,45,0,GLY,1.96,20
2,5,F3,45,0,GLY,1.96,20
3,5,F4,45,0,GLY,1.96,20
4,5,F5,45,0,GLY,1.96,55
5,5,F6,45,0,GLY,1.96,55
6,5,F7,45,0,GLY,1.96,55
7,5,F8,45,0,GLY,1.96,55
8,5,F9,45,0,GLY,1.96,90
9,5,F10,45,0,GLY,1.96,90
10,5,F11,45,0,GLY,1.96,90
11,5,F12,45,0,GLY,1.96,90
0,6,G1,45,0,GLY,1.96,20
1,6,G2,45,0,GLY,1.96,20
2,6,G3,45,0,GLY,1.96,20
3,6,G4,45,0,GLY,1.96,20
4,6,G5,45,0,GLY,1.96,55
5,6,G6,45,0,GLY,1.96,55
6,6,G7,45,0,GLY,1.96,55
7,6,G8,45,0,GLY,1.96,55
8,6,G9,45,0,GLY,1.96,90
9,6,G10,45,0,GLY,1.96,90
10,6,G11,45,0,GLY,1.96,90
11,6,G12,45,0,GLY,1.96,90
0,7,H1,45,0,GLY,1.96,20
1,7,H2,45,0,GLY,1.96,20
2,7,H3,45,0,GLY,1.96,20
3,7,H4,45,0,GLY,1.96,20
4,7,H5,45,0,GLY,1.96,55
5,7,H6,45,0,GLY,1.96,55
6,7,H7,45,0,GLY,1.96,55
7,7,H8,45,0,GLY,1.96,55
8,7,H9,45,0,GLY,1.96,90
9,7,H10,45,0,GLY,1.96,90
10,7,H11,45,0,GLY,1.96,90
11,7,H12,45,0,GLY,1.96,90
