Col,Row,Well,mConc,mFillHeight,mFluid,mImpedance,mVolume
0,0,A1,20,0,GLY,1.71,55
1,0,A2,20,0,GLY,1.71,55
2,0,A3,20,0,GLY,1.71,55
3,0,A4,20,0,GLY,1.71,55
4,0,A5,20,0,GLY,1.71,55
5,0,A6,20,0,GLY,1.71,55
6,0,A7,20,0,GLY,1.71,55
7,0,A8,20,0,GLY,1.71,55
8,0,A9,20,0,GLY,1.71,55
9,0,A10,20,0,GLY,1.71,55
10,0,A11,20,0,GLY,1.71,55
11,0,A12,20,0,GLY,1.71,55
0,1,B1,20,0,GLY,1.71,55
1,1,B2,20,0,GLY,1.71,55
2,1,B3,20,0,GLY,1.71,55
3,1,B4,20,0,GLY,1.71,55
4,1,B5,20,0,GLY,1.71,55
5,1,B6,20,0,GLY,1.71,55
6,1,B7,20,0,GLY,1.71,55
7,1,B8,20,0,GLY,1.71,55
8,1,B9,20,0,GLY,1.71,55
9,1,B10,20,0,GLY,1.71,55
10,1,B11,20,0,GLY,1.71,55
11,1,B12,20,0,GLY,1.71,55
0,2,C1,20,0,GLY,1.71,55
1,2,C2,20,0,GLY,1.71,55
2,2,C3,20,0,GLY,1.71,55
3,2,C4,20,0,GLY,1.71,55
4,2,C5,20,0,GLY,1.71,55
5,2,C6,20,0,GLY,1.71,55
6,2,C7,20,0,GLY,1.71,55
7,2,C8,20,0,GLY,1.71,55
8,2,C9,20,0,GLY,1.71,55
9,2,C10,20,0,GLY,1.71,55
10,2,C11,20,0,GLY,1.71,55
11,2,C12,20,0,GLY,1.71,55
0,3,D1,20,0,GLY,1.71,55
1,3,D2,20,0,GLY,1.71,55
2,3,D3,20,0,GLY,1.71,55
3,3,D4,20,0,GLY,1.71,55
4,3,D5,20,0,GLY,1.71,55
5,3,D6,20,0,GLY,1.71,55
6,3,D7,20,0,GLY,1.71,55
7,3,D8,20,0,GLY,1.71,55
8,3,D9,20,0,GLY,1.71,55
9,3,D10,20,0,GLY,1.71,55
10,3,D11,20,0,GLY,1.71,55
11,3,D12,20,0,GLY,1.71,55
0,4,E1,20,0,GLY,1.71,55
1,4,E2,20,0,GLY,1.71,55
2,4,E3,20,0,GLY,1.71,55
3,4,E4,20,0,GLY,1.71,55
4,4,E5,20,0,GLY,1.71,55
5,4,E6,20,0,GLY,1.71,55
6,4,E7,20,0,GLY,1.71,55
7,4,E8,20,0,GLY,1.71,55
8,4,E9,20,0,GLY,1.71,55
9,4,E10,20,0,GLY,1.71,55
10,4,E11,20,0,GLY,1.71,55
11,4,E12,20,0,GLY,1.71,55
0,5,F1,20,0,GLY,1.71,55
1,5,F2,20,0,GLY,1.71,55
2,5,F3,20,0,GLY,1.71,55
3,5,F4,20,0,GLY,1.71,55
4,5,F5,20,0,GLY,1.71,55
5,5,F6,20,0,GLY,1.71,55
6,5,F7,20,0,GLY,1.71,55
7,5,F8,20,0,GLY,1.71,55
8,5,F9,20,0,GLY,1.71,55
9,5,F10,20,0,GLY,1.71,55
10,5,F11,20,0,GLY,1.71,55
11,5,F12,20,0,GLY,1.71,55
0,6,G1,20,0,GLY,1.71,55
1,6,G2,20,0,GLY,1.71,55
2,6,G3,20,0,GLY,1.71,55
3,6,G4,20,0,GLY,1.71,55
4,6,G5,20,0,GLY,1.71,55
5,6,G6,20,0,GLY,1.71,55
6,6,G7,20,0,GLY,1.71,55
7,6,G8,20,0,GLY,1.71,55
8,6,G9,20,0,GLY,1.71,55
9,6,G10,20,0,GLY,1.71,55
10,6,G11,20,0,GLY,1.71,55
11,6,G12,20,0,GLY,1.71,55
0,7,H1,20,0,GLY,1.71,55
1,7,H2,20,0,GLY,1.71,55
2,7,H3,20,0,GLY,1.71,55
3,7,H4,20,0,GLY,1.71,55
4,7,H5,20,0,GLY,1.71,55
5,7,H6,20,0,GLY,1.71,55
6,7,H7,20,0,GLY,1.71,55
7,7,H8,20,0,GLY,1.71,55
8,7,H9,20,0,GLY,1.71,55
9,7,H10,20,0,GLY,1.71,55
10,7,H11,20,0,GLY,1.71,55
11,7,H12,20,0,GLY,1.71,55
