Col,Row,Well,mConc,mFillHeight,mFluid,mImpedance,mVolume
0,0,A1,75,0,DMSO,1.81,20
1,0,A2,75,0,DMSO,1.81,20
2,0,A3,75,0,DMSO,1.81,20
3,0,A4,75,0,DMSO,1.81,20
4,0,A5,75,0,DMSO,1.81,20
5,0,A6,75,0,DMSO,1.81,20
6,0,A7,75,0,DMSO,1.81,20
7,0,A8,75,0,DMSO,1.81,20
8,0,A9,75,0,DMSO,1.81,20
9,0,A10,75,0,DMSO,1.81,20
10,0,A11,75,0,DMSO,1.81,20
11,0,A12,75,0,DMSO,1.81,20
0,1,B1,75,0,DMSO,1.81,20
1,1,B2,75,0,DMSO,1.81,20
2,1,B3,75,0,DMSO,1.81,20
3,1,B4,75,0,DMSO,1.81,20
4,1,B5,75,0,DMSO,1.81,20
5,1,B6,75,0,DMSO,1.81,20
6,1,B7,75,0,DMSO,1.81,20
7,1,B8,75,0,DMSO,1.81,20
8,1,B9,75,0,DMSO,1.81,20
9,1,B10,75,0,DMSO,1.81,20
10,1,B11,75,0,DMSO,1.81,20
11,1,B12,75,0,DMSO,1.81,20
0,2,C1,75,0,DMSO,1.81,20
1,2,C2,75,0,DMSO,1.81,20
2,2,C3,75,0,DMSO,1.81,20
3,2,C4,75,0,DMSO,1.81,20
4,2,C5,75,0,DMSO,1.81,20
5,2,C6,75,0,DMSO,1.81,20
6,2,C7,75,0,DMSO,1.81,20
7,2,C8,75,0,DMSO,1.81,20
8,2,C9,75,0,DMSO,1.81,20
9,2,C10,75,0,DMSO,1.81,20
10,2,C11,75,0,DMSO,1.81,20
11,2,C12,75,0,DMSO,1.81,20
0,3,D1,75,0,DMSO,1.81,20
1,3,D2,75,0,DMSO,1.81,20
2,3,D3,75,0,DMSO,1.81,20
3,3,D4,75,0,DMSO,1.81,20
4,3,D5,75,0,DMSO,1.81,20
5,3,D6,75,0,DMSO,1.81,20
6,3,D7,75,0,DMSO,1.81,20
7,3,D8,75,0,DMSO,1.81,20
8,3,D9,75,0,DMSO,1.81,20
9,3,D10,75,0,DMSO,1.81,20
10,3,D11,75,0,DMSO,1.81,20
11,3,D12,75,0,DMSO,1.81,20
0,4,E1,75,0,DMSO,1.81,20
1,4,E2,75,0,DMSO,1.81,20
2,4,E3,75,0,DMSO,1.81,20
3,4,E4,75,0,DMSO,1.81,20
4,4,E5,75,0,DMSO,1.81,20
5,4,E6,75,0,DMSO,1.81,20
6,4,E7,75,0,DMSO,1.81,20
7,4,E8,75,0,DMSO,1.81,20
8,4,E9,75,0,DMSO,1.81,20
9,4,E10,75,0,DMSO,1.81,20
10,4,E11,75,0,DMSO,1.81,20
11,4,E12,75,0,DMSO,1.81,20
0,5,F1,75,0,DMSO,1.81,20
1,5,F2,75,0,DMSO,1.81,20
2,5,F3,75,0,DMSO,1.81,20
3,5,F4,75,0,DMSO,1.81,20
4,5,F5,75,0,DMSO,1.81,20
5,5,F6,75,0,DMSO,1.81,20
6,5,F7,75,0,DMSO,1.81,20
7,5,F8,75,0,DMSO,1.81,20
8,5,F9,75,0,DMSO,1.81,20
9,5,F10,75,0,DMSO,1.81,20
10,5,F11,75,0,DMSO,1.81,20
11,5,F12,75,0,DMSO,1.81,20
0,6,G1,75,0,DMSO,1.81,20
1,6,G2,75,0,DMSO,1.81,20
2,6,G3,75,0,DMSO,1.81,20
3,6,G4,75,0,DMSO,1.81,20
4,6,G5,75,0,DMSO,1.81,20
5,6,G6,75,0,DMSO,1.81,20
6,6,G7,75,0,DMSO,1.81,20
7,6,G8,75,0,DMSO,1.81,20
8,6,G9,75,0,DMSO,1.81,20
9,6,G10,75,0,DMSO,1.81,20
10,6,G11,75,0,DMSO,1.81,20
11,6,G12,75,0,DMSO,1.81,20
0,7,H1,75,0,DMSO,1.81,20
1,7,H2,75,0,DMSO,1.81,20
2,7,H3,75,0,DMSO,1.81,20
3,7,H4,75,0,DMSO,1.81,20
4,7,H5,75,0,DMSO,1.81,20
5,7,H6,75,0,DMSO,1.81,20
6,7,H7,75,0,DMSO,1.81,20
7,7,H8,75,0,DMSO,1.81,20
8,7,H9,75,0,DMSO,1.81,20
9,7,H10,75,0,DMSO,1.81,20
10,7,H11,75,0,DMSO,1.81,20
11,7,H12,75,0,DMSO,1.81,20
