Col,Row,Well,mConc,mFillHeight,mFluid,mImpedance,mVolume
0,0,A1,85,0,DMSO,1.75,95
1,0,A2,85,0,DMSO,1.75,95
2,0,A3,85,0,DMSO,1.75,95
3,0,A4,85,0,DMSO,1.75,95
4,0,A5,85,0,DMSO,1.75,95
5,0,A6,85,0,DMSO,1.75,95
6,0,A7,85,0,DMSO,1.75,95
7,0,A8,85,0,DMSO,1.75,95
8,0,A9,85,0,DMSO,1.75,95
9,0,A10,85,0,DMSO,1.75,95
10,0,A11,85,0,DMSO,1.75,95
11,0,A12,85,0,DMSO,1.75,95
0,1,B1,85,0,DMSO,1.75,95
1,1,B2,85,0,DMSO,1.75,95
2,1,B3,85,0,DMSO,1.75,95
3,1,B4,85,0,DMSO,1.75,95
4,1,B5,85,0,DMSO,1.75,95
5,1,B6,85,0,DMSO,1.75,95
6,1,B7,85,0,DMSO,1.75,95
7,1,B8,85,0,DMSO,1.75,95
8,1,B9,85,0,DMSO,1.75,95
9,1,B10,85,0,DMSO,1.75,95
10,1,B11,85,0,DMSO,1.75,95
11,1,B12,85,0,DMSO,1.75,95
0,2,C1,85,0,DMSO,1.75,95
1,2,C2,85,0,DMSO,1.75,95
2,2,C3,85,0,DMSO,1.75,95
3,2,C4,85,0,DMSO,1.75,95
4,2,C5,85,0,DMSO,1.75,95
5,2,C6,85,0,DMSO,1.75,95
6,2,C7,85,0,DMSO,1.75,95
7,2,C8,85,0,DMSO,1.75,95
8,2,C9,85,0,DMSO,1.75,95
9,2,C10,85,0,DMSO,1.75,95
10,2,C11,85,0,DMSO,1.75,95
11,2,C12,85,0,DMSO,1.75,95
0,3,D1,85,0,DMSO,1.75,95
1,3,D2,85,0,DMSO,1.75,95
2,3,D3,85,0,DMSO,1.75,95
3,3,D4,85,0,DMSO,1.75,95
4,3,D5,85,0,DMSO,1.75,95
5,3,D6,85,0,DMSO,1.75,95
6,3,D7,85,0,DMSO,1.75,95
7,3,D8,85,0,DMSO,1.75,95
8,3,D9,85,0,DMSO,1.75,95
9,3,D10,85,0,DMSO,1.75,95
10,3,D11,85,0,DMSO,1.75,95
11,3,D12,85,0,DMSO,1.75,95
0,4,E1,85,0,DMSO,1.75,95
1,4,E2,85,0,DMSO,1.75,95
2,4,E3,85,0,DMSO,1.75,95
3,4,E4,85,0,DMSO,1.75,95
4,4,E5,85,0,DMSO,1.75,95
5,4,E6,85,0,DMSO,1.75,95
6,4,E7,85,0,DMSO,1.75,95
7,4,E8,85,0,DMSO,1.75,95
8,4,E9,85,0,DMSO,1.75,95
9,4,E10,85,0,DMSO,1.75,95
10,4,E11,85,0,DMSO,1.75,95
11,4,E12,85,0,DMSO,1.75,95
0,5,F1,85,0,DMSO,1.75,95
1,5,F2,85,0,DMSO,1.75,95
2,5,F3,85,0,DMSO,1.75,95
3,5,F4,85,0,DMSO,1.75,95
4,5,F5,85,0,DMSO,1.75,95
5,5,F6,85,0,DMSO,1.75,95
6,5,F7,85,0,DMSO,1.75,95
7,5,F8,85,0,DMSO,1.75,95
8,5,F9,85,0,DMSO,1.75,95
9,5,F10,85,0,DMSO,1.75,95
10,5,F11,85,0,DMSO,1.75,95
11,5,F12,85,0,DMSO,1.75,95
0,6,G1,85,0,DMSO,1.75,95
1,6,G2,85,0,DMSO,1.75,95
2,6,G3,85,0,DMSO,1.75,95
3,6,G4,85,0,DMSO,1.75,95
4,6,G5,85,0,DMSO,1.75,95
5,6,G6,85,0,DMSO,1.75,95
6,6,G7,85,0,DMSO,1.75,95
7,6,G8,85,0,DMSO,1.75,95
8,6,G9,85,0,DMSO,1.75,95
9,6,G10,85,0,DMSO,1.75,95
10,6,G11,85,0,DMSO,1.75,95
11,6,G12,85,0,DMSO,1.75,95
0,7,H1,85,0,DMSO,1.75,95
1,7,H2,85,0,DMSO,1.75,95
2,7,H3,85,0,DMSO,1.75,95
3,7,H4,85,0,DMSO,1.75,95
4,7,H5,85,0,DMSO,1.75,95
5,7,H6,85,0,DMSO,1.75,95
6,7,H7,85,0,DMSO,1.75,95
7,7,H8,85,0,DMSO,1.75,95
8,7,H9,85,0,DMSO,1.75,95
9,7,H10,85,0,DMSO,1.75,95
10,7,H11,85,0,DMSO,1.75,95
11,7,H12,85,0,DMSO,1.75,95
