Col,Row,Well,mConc,mFillHeight,mFluid,mImpedance,mVolume
0,0,A1,90,0,DMSO,1.71,55
1,0,A2,90,0,DMSO,1.71,55
2,0,A3,90,0,DMSO,1.71,55
3,0,A4,90,0,DMSO,1.71,55
4,0,A5,90,0,DMSO,1.71,55
5,0,A6,90,0,DMSO,1.71,55
6,0,A7,90,0,DMSO,1.71,55
7,0,A8,90,0,DMSO,1.71,55
8,0,A9,90,0,DMSO,1.71,55
9,0,A10,90,0,DMSO,1.71,55
10,0,A11,90,0,DMSO,1.71,55
11,0,A12,90,0,DMSO,1.71,55
0,1,B1,90,0,DMSO,1.71,55
1,1,B2,90,0,DMSO,1.71,55
2,1,B3,90,0,DMSO,1.71,55
3,1,B4,90,0,DMSO,1.71,55
4,1,B5,90,0,DMSO,1.71,55
5,1,B6,90,0,DMSO,1.71,55
6,1,B7,90,0,DMSO,1.71,55
7,1,B8,90,0,DMSO,1.71,55
8,1,B9,90,0,DMSO,1.71,55
9,1,B10,90,0,DMSO,1.71,55
10,1,B11,90,0,DMSO,1.71,55
11,1,B12,90,0,DMSO,1.71,55
0,2,C1,90,0,DMSO,1.71,55
1,2,C2,90,0,DMSO,1.71,55
2,2,C3,90,0,DMSO,1.71,55
3,2,C4,90,0,DMSO,1.71,55
4,2,C5,90,0,DMSO,1.71,55
5,2,C6,90,0,DMSO,1.71,55
6,2,C7,90,0,DMSO,1.71,55
7,2,C8,90,0,DMSO,1.71,55
8,2,C9,90,0,DMSO,1.71,55
9,2,C10,90,0,DMSO,1.71,55
10,2,C11,90,0,DMSO,1.71,55
11,2,C12,90,0,DMSO,1.71,55
0,3,D1,90,0,DMSO,1.71,55
1,3,D2,90,0,DMSO,1.71,55
2,3,D3,90,0,DMSO,1.71,55
3,3,D4,90,0,DMSO,1.71,55
4,3,D5,90,0,DMSO,1.71,55
5,3,D6,90,0,DMSO,1.71,55
6,3,D7,90,0,DMSO,1.71,55
7,3,D8,90,0,DMSO,1.71,55
8,3,D9,90,0,DMSO,1.71,55
9,3,D10,90,0,DMSO,1.71,55
10,3,D11,90,0,DMSO,1.71,55
11,3,D12,90,0,DMSO,1.71,55
0,4,E1,90,0,DMSO,1.71,55
1,4,E2,90,0,DMSO,1.71,55
2,4,E3,90,0,DMSO,1.71,55
3,4,E4,90,0,DMSO,1.71,55
4,4,E5,90,0,DMSO,1.71,55
5,4,E6,90,0,DMSO,1.71,55
6,4,E7,90,0,DMSO,1.71,55
7,4,E8,90,0,DMSO,1.71,55
8,4,E9,90,0,DMSO,1.71,55
9,4,E10,90,0,DMSO,1.71,55
10,4,E11,90,0,DMSO,1.71,55
11,4,E12,90,0,DMSO,1.71,55
0,5,F1,90,0,DMSO,1.71,55
1,5,F2,90,0,DMSO,1.71,55
2,5,F3,90,0,DMSO,1.71,55
3,5,F4,90,0,DMSO,1.71,55
4,5,F5,90,0,DMSO,1.71,55
5,5,F6,90,0,DMSO,1.71,55
6,5,F7,90,0,DMSO,1.71,55
7,5,F8,90,0,DMSO,1.71,55
8,5,F9,90,0,DMSO,1.71,55
9,5,F10,90,0,DMSO,1.71,55
10,5,F11,90,0,DMSO,1.71,55
11,5,F12,90,0,DMSO,1.71,55
0,6,G1,90,0,DMSO,1.71,55
1,6,G2,90,0,DMSO,1.71,55
2,6,G3,90,0,DMSO,1.71,55
3,6,G4,90,0,DMSO,1.71,55
4,6,G5,90,0,DMSO,1.71,55
5,6,G6,90,0,DMSO,1.71,55
6,6,G7,90,0,DMSO,1.71,55
7,6,G8,90,0,DMSO,1.71,55
8,6,G9,90,0,DMSO,1.71,55
9,6,G10,90,0,DMSO,1.71,55
10,6,G11,90,0,DMSO,1.71,55
11,6,G12,90,0,DMSO,1.71,55
0,7,H1,90,0,DMSO,1.71,55
1,7,H2,90,0,DMSO,1.71,55
2,7,H3,90,0,DMSO,1.71,55
3,7,H4,90,0,DMSO,1.71,55
4,7,H5,90,0,DMSO,1.71,55
5,7,H6,90,0,DMSO,1.71,55
6,7,H7,90,0,DMSO,1.71,55
7,7,H8,90,0,DMSO,1.71,55
8,7,H9,90,0,DMSO,1.71,55
9,7,H10,90,0,DMSO,1.71,55
10,7,H11,90,0,DMSO,1.71,55
11,7,H12,90,0,DMSO,1.71,55
